AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
5;3;1;1;1;1;1;1;14;1;Charlotte S.-C.;7;1
5;3;1;1;3;3;1;1;12;1;John H.;5;1
5;2;1;1;1;3;1;1;13;1;Adam W. V.;5;1
2;4;1;2;2;3;2;2;6;1;Ahmed T.;8;1
1;3;1;1;1;1;1;1;14;1;Sofia P.;6;1
4;1;3;2;3;2;2;3;7;1;Moussa R.;4;1
4;4;1;2;2;1;1;1;7;1;Ndiaye H.;8;1
1;3;1;1;1;3;1;4;14;1;Isla K.;6;1
3;2;1;2;3;2;5;2;16;1;Rosa B.;4;1
3;5;1;2;1;3;1;2;4;1;Adrian D.;8;1
3;5;1;1;1;1;2;1;6;1;Luca V.;9;1
5;2;1;1;1;3;1;1;12;1;Priya N. Z.;5;1
4;4;2;2;3;3;1;1;2;3;Leïla X.;8;1
1;4;3;2;3;2;3;2;11;1;Laura M.;2;1
4;1;1;2;3;2;1;3;4;1;Yui F. B.;4;1
1;2;1;2;3;3;3;2;15;1;Néné K.;4;1
3;3;1;2;2;2;2;1;2;1;Aïcha S.;8;1
1;4;1;2;3;1;5;2;8;1;Chloé P.;3;1
2;2;3;2;3;2;1;1;2;1;Moussa U.;3;1
1;5;1;1;1;3;1;2;9;1;Aurélie G.;9;1
4;2;1;2;2;2;3;2;1;1;Daiki W.;8;1
4;2;1;2;3;2;2;1;1;1;Charlotte T.;5;1
5;5;1;1;1;1;1;1;12;1;Giovanni L.;4;1
2;3;1;1;1;3;1;1;14;1;Hanane W.;6;1
1;3;1;1;1;3;1;4;14;1;Takumi H.-M.;7;1
2;3;1;1;1;1;1;1;13;1;Lea S.;6;1
2;3;1;1;1;1;1;4;14;1;Antonio H.;6;1
2;4;1;2;2;2;1;1;1;1;Tariro W.;8;1
1;3;1;1;1;1;1;1;16;1;Ndiaye T.;6;1
3;1;1;2;3;2;3;2;16;1;Noura T.;5;1
1;5;1;1;1;1;2;1;11;1;Jessica U.;9;1
2;3;1;1;1;3;1;1;14;1;Aoi R. Y.;6;1
2;3;1;1;1;3;1;1;14;1;Ignacio E.;6;1
3;5;1;1;1;3;1;2;9;1;Yuna H.;9;1
2;3;1;1;1;3;2;1;11;1;Bilal F.;4;1
4;1;2;2;3;2;1;3;7;2;Finn R.;2;1
5;3;1;1;1;3;1;1;13;1;Ali Q.;5;1
2;2;1;2;2;2;1;2;4;1;Kei Q.;8;1
4;1;1;2;3;2;1;3;4;1;Chloé D.;5;1
3;2;1;2;2;1;3;2;2;1;Amina Z. G.;8;1
1;4;2;2;3;1;5;2;1;3;Saga E.-M.;3;1
5;3;1;1;1;3;1;1;12;1;James J. J.;5;1
2;3;1;1;1;3;1;1;13;1;Lucia Y.-G.;5;1
5;3;1;1;1;3;1;1;13;1;Luca D.-E.;6;1
2;4;1;2;2;4;2;2;6;1;Carlos F.;8;1
5;2;1;1;3;1;1;1;12;1;Guillaume P.;5;1
4;1;1;2;3;4;3;3;1;1;Rémi C.;5;1
5;3;1;1;1;1;1;4;16;1;Sophie V.;6;1
1;3;1;1;1;1;1;1;15;1;Chloé C.;4;1
3;2;1;2;2;1;1;3;1;1;Martin L.;8;1
2;4;1;2;3;3;1;1;2;4;Riko B.;4;1
3;2;1;2;2;1;1;2;1;1;Fatima V.;6;1
4;1;2;2;3;2;1;3;2;1;George K.;3;1
3;5;1;1;1;1;2;1;10;1;Astrid K.;9;1
3;5;1;1;1;1;2;1;6;1;Ismaël L.;9;1
5;2;1;2;3;3;3;2;15;1;George P.;5;1
2;3;4;1;1;3;1;1;14;4;Pablo W.;6;1
1;2;1;2;3;2;2;1;3;1;Freya F.;5;1
1;5;1;1;1;3;2;2;11;1;Fang C.-Z.;8;1
1;3;1;1;1;1;1;4;14;1;James C. K.;7;1
3;1;1;2;2;3;1;2;4;1;Brahim C.;8;1
3;1;1;2;2;1;2;2;2;1;Luc N.;8;1
4;5;1;1;1;1;2;1;11;1;Sakura P. R.;9;1
4;1;1;2;3;2;4;3;7;1;Sora W.;4;1
2;2;1;2;3;3;1;2;1;1;Léa V.;5;1
4;1;3;2;3;2;3;2;7;2;Luigi U.;4;1
4;2;1;2;3;3;1;2;15;1;Thabo C.;5;1
3;2;1;2;2;2;2;2;5;1;Corentin M.;8;1
3;1;1;2;2;1;2;2;10;1;Luis K.;8;1
2;2;1;1;1;3;1;3;15;1;Lei K.;4;1
4;2;1;2;3;2;2;1;1;1;Dalila J.;5;1
1;1;1;2;3;2;1;4;1;1;Takeshi T.;7;1
3;5;1;1;1;4;1;2;11;1;Marina K.;9;1
2;2;1;2;2;2;2;2;1;1;Saga W.;8;1
1;1;1;2;3;2;1;4;1;1;Ruby C.;7;1
2;2;1;2;3;3;3;2;15;1;Khady D.;4;1
2;5;1;1;1;3;1;2;8;1;Luke U.;8;1
4;4;1;2;2;2;1;2;6;1;Hannah U.;8;1
1;1;1;2;3;1;4;1;1;1;Charlie M.;5;1
4;1;3;2;3;3;4;2;2;2;Tamsir K.;8;1
4;4;1;2;2;1;1;2;6;1;Martin N.;8;1
5;3;1;1;1;1;1;1;13;1;Riko X.;7;1
2;3;1;1;1;3;1;1;14;1;Patricia W.;9;1
5;3;1;1;1;3;1;1;13;1;Aisha T. N.;9;1
5;5;1;1;1;1;2;3;9;1;Leïla O.;9;1
2;2;1;2;2;2;1;2;1;1;John A.;8;1
3;2;1;2;2;1;1;1;4;1;Kimi S.;8;1
3;5;1;1;1;3;2;2;8;1;Lucie D.;8;1
2;3;1;1;1;1;1;1;13;1;Ben B.;5;1
5;3;1;1;1;1;1;1;13;1;Adama J.;6;1
5;3;1;1;1;1;1;1;12;1;Xiao D.;5;1
4;5;1;1;1;3;2;2;9;1;Federico U.;9;1
2;3;1;1;1;1;1;1;14;1;Ali S.-L.;6;1
3;1;1;2;2;3;2;3;5;1;Ali F.;8;1
3;5;1;1;1;3;1;1;10;1;Mia M.;9;1
4;2;1;2;3;2;2;1;2;1;Federico Q.;5;1
4;3;1;2;3;2;2;2;2;1;Karim Y.;5;1
1;5;1;1;1;1;1;2;10;1;Lucas T.;9;1
2;3;1;1;1;1;1;1;14;1;Kenza Q.;6;1
1;3;1;1;1;1;1;1;14;1;Rachid S.;6;1
3;2;1;2;2;1;1;1;5;1;Alba Q.;8;1
3;1;1;2;2;2;2;1;5;1;Marina P.;3;1
2;4;1;2;2;4;2;2;8;1;Jabari B.;8;1
1;4;3;2;3;1;1;2;9;1;Thabo B.;4;1
3;4;1;2;2;1;1;2;6;1;Wei L.;8;1
4;1;3;2;3;2;2;3;6;3;Amelia L.-A.;2;1
1;3;1;2;2;4;3;1;6;1;Pedro D.;8;1
1;3;1;1;1;1;1;1;14;1;Sandra J.;6;1
4;2;1;2;2;2;2;1;1;1;Yuki Y.;8;1
1;5;1;1;1;4;1;4;9;1;Pedro G.;9;1
2;1;1;2;3;3;3;1;2;4;William G.;9;1
3;1;1;2;2;2;2;2;6;1;Latifa H.;8;1
4;4;1;2;3;1;3;1;7;4;Hana H.;3;1
2;2;1;2;3;4;3;2;16;3;Laura Y.;4;1
4;1;4;2;3;3;4;3;15;2;Claire H. D.;8;1
5;3;1;1;1;3;1;1;13;1;Valentin P.;6;1
4;1;1;2;3;2;3;3;1;1;Thomas X.;8;1
2;2;1;2;2;2;1;2;2;1;Issa I.;8;1
5;2;1;2;1;1;1;1;13;1;Chloé I.;4;1
1;5;1;1;1;1;2;2;10;1;Paul H.;9;1
2;3;1;1;1;1;1;1;13;1;Lucie Z.;5;1
3;1;1;2;2;2;1;2;6;1;Hugo Y.;8;1
4;1;1;2;3;2;1;3;2;1;Emily Q.;5;1
4;3;1;1;1;3;1;1;14;1;Valentina V.;6;1
4;1;3;2;3;2;1;2;2;1;Aziz S.;5;1
3;5;1;1;1;4;2;3;6;1;Louis U.;9;1
5;2;1;1;1;3;1;1;12;1;Harry Z.;5;1
4;5;1;2;1;3;1;1;5;1;Daniela G.;8;1
1;3;1;2;2;1;1;2;5;1;Luigi O.;8;1
3;2;1;2;2;3;3;1;1;1;Sofia F.-V.;5;1
4;2;1;2;3;3;4;1;15;1;Fatima R.;5;1
1;5;1;1;1;3;1;2;10;1;Paul V.-T.;5;1
2;4;1;2;2;2;1;1;1;1;Abibatou N.;8;1
3;2;1;2;3;2;2;2;1;1;Ananya J. K.;6;1
2;3;1;1;1;3;1;1;14;1;Ismaël S.;6;1
1;3;1;1;1;1;1;4;14;1;Thomas Q.;6;1
4;2;1;2;2;2;3;2;1;1;Aisha F.;8;1
4;1;2;2;3;2;1;3;1;1;Carmen B.;8;1
4;2;1;2;3;2;1;2;16;3;Rami L.;4;1
2;2;1;1;1;3;1;1;11;1;Julien P.;5;1
1;3;1;1;1;1;1;4;14;1;Fanta X.;6;1
4;5;1;1;1;3;1;1;13;1;Amelia H.-M.;5;1
1;1;1;2;2;3;1;2;2;1;Björn B.;8;1
4;5;1;1;1;1;1;1;9;1;Anna D.;9;1
2;3;1;1;1;3;1;4;14;1;Sofia K.;6;1
2;3;1;1;1;1;1;1;14;1;Hicham W.;6;1
3;2;1;2;3;1;4;1;1;1;William J.;3;1
2;3;1;1;1;3;1;1;11;1;Diego Y. D.;4;1
2;2;1;2;2;2;1;2;1;1;Mia J.;8;1
1;2;1;2;3;2;4;2;2;1;Henry K. B.;3;1
3;2;1;1;1;3;1;1;12;1;Aurélie A.;5;1
3;1;1;2;2;3;2;2;5;1;Omar C. N.;8;1
5;3;1;1;1;3;1;1;13;1;Riko J.;6;1
4;5;1;1;1;1;2;2;9;1;Yuki A.;9;1
1;3;3;2;3;1;3;2;1;1;Mia P.;5;1
1;1;1;2;2;3;1;2;2;1;Luc S.;8;1
1;1;1;2;2;2;3;2;6;1;Giovanni T.;8;1
1;3;1;1;1;1;1;4;14;1;Eva K.;7;1
3;1;1;2;2;1;2;2;2;1;Naoko Z.;8;1
4;1;4;2;3;2;3;2;16;1;Fatou G.;4;1
1;3;1;1;1;3;1;4;14;1;Antonio D.;6;1
2;3;1;1;1;1;1;1;14;1;Franco L.;6;1
3;2;1;2;2;2;2;2;15;1;Harry O.;8;1
3;3;1;2;2;2;2;1;2;1;Xiao R.-A.;8;1
2;2;1;1;1;1;1;1;13;1;Federico M.;4;1
2;3;1;1;1;1;1;4;14;1;Sekou L.;6;1
5;5;1;1;1;1;1;2;9;1;Luc V.-M.;9;1
3;3;1;2;3;3;2;1;1;1;Hana V.;3;1
3;5;1;1;1;3;2;2;10;1;Li F.;4;1
1;2;1;2;2;1;1;2;1;1;Vivaan A.;8;1
1;2;1;2;2;2;2;1;1;1;Elisa R.;6;1
1;3;1;1;1;3;1;1;16;1;Vincent S.;6;1
2;4;1;2;2;2;3;2;7;1;Hugo E. A.;8;1
3;3;1;1;1;3;2;1;10;1;Redouane X.;4;1
3;1;1;2;2;1;2;2;2;1;Lars K.;8;1
1;5;1;1;1;3;1;1;13;1;Tao D.;6;1
2;3;1;1;1;3;1;1;13;1;Salma F.;6;1
3;5;1;1;1;1;1;1;8;1;Javier M.;8;1
3;3;1;1;1;3;2;1;13;1;Amina L.;4;1
1;1;1;2;3;3;3;1;16;3;Ndiaye P.;5;1
1;5;1;1;1;1;1;1;8;1;James Q.;9;1
5;2;1;1;1;3;1;1;13;1;Emma H.;6;1
4;1;2;2;3;2;1;3;4;1;Moussa A.;5;1
2;5;1;1;1;1;1;2;7;1;Aïcha H.;9;1
2;4;1;2;2;3;2;2;6;1;Nathan V. R.;8;1
1;2;1;2;3;2;2;1;3;1;Maria H.;5;1
3;2;1;2;2;2;3;4;3;1;Jesus N.;7;1
1;5;1;1;1;1;2;2;9;1;Thomas T.;9;1
3;2;1;2;2;2;1;1;3;1;Zanele L.;6;1
4;5;1;1;1;1;1;2;8;1;Matteo H.;8;1
2;5;1;1;1;1;1;2;9;1;Gabriella F.;9;1
2;2;1;2;2;1;2;3;1;1;Laura B.;8;1
1;3;1;1;1;3;1;4;14;1;Aurora N.-P.;6;1
1;5;1;1;1;3;1;1;10;1;Paul E.;9;1
1;3;1;1;1;3;1;4;14;1;Najet C.;6;1
2;5;1;1;1;3;1;1;10;1;Sofiane T.;9;1
3;5;1;1;1;1;2;1;10;1;Han Y.;9;1
3;5;1;2;1;3;2;2;8;1;Lea T.;8;1
1;5;1;1;1;3;2;1;9;1;Luc D.;9;1
3;4;1;2;2;2;1;2;6;1;Lorenzo M.;8;1
5;3;1;1;1;3;1;1;13;1;Ismaël Z.;5;1
3;2;1;2;2;3;1;2;3;1;Jack W.;6;1
2;2;1;2;2;2;1;2;1;1;Clément O.;8;1
4;4;1;2;2;4;1;2;6;1;Boubacar B.;8;1
1;4;2;2;3;1;2;3;8;1;Sofia X.;8;1
2;3;1;1;1;1;1;4;14;1;Fernando K.;6;1
2;5;1;1;1;1;2;1;11;1;Raffaele Z.;4;1
4;4;4;2;3;1;3;2;5;1;Caterina Q.;5;1
2;4;1;2;2;3;2;2;7;1;Simone I.;8;1
3;2;1;2;3;2;1;2;2;1;Nour Y.;5;1
3;3;1;1;1;1;2;1;10;1;Rossana B.;4;1
4;4;4;2;3;1;1;2;5;1;Takumi F.-Z.;5;1
1;5;1;1;1;3;2;1;10;1;Noura O.;9;1
4;1;2;2;3;2;1;3;1;3;Matteo F.;8;1
4;2;1;2;3;2;3;4;2;1;Bilal A.;4;1
1;1;1;2;3;2;1;1;1;1;Li B. J.;4;1
1;4;1;2;2;1;2;4;8;1;Hassan O.;8;1
2;5;1;1;1;1;1;2;6;1;Carlos Z.;9;1
3;2;1;2;3;2;4;4;2;1;Luc Z.;5;1
5;2;1;1;1;1;1;1;12;1;Manon X.;5;1
5;2;1;1;1;3;2;3;15;1;Imen F.;4;1
2;5;1;1;1;3;1;2;10;1;Yuki L.;9;1
2;4;1;2;2;3;2;2;6;1;Fanta Q.;8;1
4;2;1;2;2;1;1;2;1;1;Mei F.;8;1
5;3;1;2;1;1;1;1;13;1;Noura A.;5;1
5;3;1;2;1;3;1;1;12;1;Kenta Z.;4;1
2;3;1;1;1;1;1;4;14;1;Alexander X.;6;1
3;2;1;2;2;1;3;1;2;1;Matteo C.;3;1
1;2;1;2;2;1;1;2;1;1;Luis R.;8;1
1;5;1;1;1;1;2;1;11;1;Henry O.;4;1
2;4;3;2;3;2;5;1;2;1;Jia N. Y.;8;1
3;3;1;2;2;2;2;1;2;1;Li D.;8;1
1;3;1;1;1;1;1;4;14;1;Carlos J.;7;1
2;4;1;2;2;2;2;4;6;1;Kimi Z.;8;1
5;3;1;1;1;1;1;1;13;1;George N.-M.;5;1
4;2;1;2;2;2;3;2;1;1;Kei E.;8;1
1;5;1;1;1;3;2;3;10;1;Lina Z.;9;1
3;4;1;2;2;2;1;1;7;1;Emma P.;8;1
3;4;1;2;2;2;2;1;7;1;Julien Z.;8;1
5;2;1;1;1;1;1;1;12;1;Juan S.;5;1
1;3;1;1;1;1;1;1;11;1;Jack J.;4;1
1;5;1;1;1;3;1;2;11;1;Catherine A.;9;1
2;3;1;1;1;3;1;1;13;1;Lucia K.;4;1
