AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
1;3;1;1;1;3;1;1;13;1;Ali S.-L.;6;1
2;1;1;1;1;1;1;3;10;1;Amina L.;4;1
5;1;1;1;1;1;1;2;11;1;Noura O.;9;1
1;1;1;1;1;1;1;1;12;1;Xiao D.;5;1
3;2;1;2;2;1;2;2;2;1;Naoko Z.;8;1
3;1;1;2;3;4;1;1;16;3;Fatima R.;5;1
4;4;4;2;3;2;4;1;6;3;Lorenzo Y.;4;1
3;2;1;2;2;2;2;2;1;1;Kei E.;8;1
3;2;1;2;2;3;5;2;4;1;Takeshi T.;3;1
5;5;1;2;1;3;1;2;9;1;Lucas T.;9;1
4;5;1;2;1;2;1;4;8;4;Paul H.;9;1
1;3;1;1;1;3;1;1;14;1;Najet C.;6;1
4;1;4;2;3;2;3;3;1;2;Emily Q.;2;1
1;1;1;1;1;1;1;3;10;1;Emma S.;5;1
4;5;1;2;1;3;1;2;6;1;Cheikh T.;9;1
1;1;1;1;1;3;1;3;11;1;Jia V. R.;4;1
3;2;3;2;2;1;2;2;4;1;Léa V.;4;1
5;5;1;2;1;2;1;1;6;1;Jabari B.;9;1
1;3;1;1;1;3;1;4;14;1;Aurora N.-P.;7;1
3;2;1;2;2;2;2;2;1;1;Martin L.;8;1
3;2;1;2;2;2;2;2;1;1;Rami L.;3;1
4;5;1;2;1;1;2;2;5;1;Luis K.;8;1
1;1;1;1;1;3;1;1;13;1;Tao D.;6;1
1;4;3;2;3;2;3;2;3;1;Chloé P.;2;1
4;2;3;2;3;1;3;1;4;1;Sora W.;2;1
3;2;1;2;2;2;2;2;1;1;Daiki W.;8;1
1;1;1;1;1;1;1;3;11;1;Lei K.;5;1
1;4;1;1;1;3;1;1;11;1;Noura A.;3;1
5;1;1;2;1;2;1;2;11;1;Pedro G.;9;1
2;5;1;2;1;3;1;1;6;1;Lucie D.;9;1
1;1;1;1;1;3;1;3;12;1;Julien P.;4;1
2;3;1;1;1;3;1;1;14;1;Lea S.;7;1
1;3;1;1;1;3;1;1;13;1;Vincent S.;6;1
3;1;1;2;1;2;1;1;8;1;Giovanni T.;8;1
5;5;1;2;1;1;1;1;9;1;Yuki L.;9;1
1;3;1;1;1;3;1;1;13;1;Ndiaye T.;6;1
5;1;1;1;1;2;1;2;10;1;Li F.;9;1
1;3;1;1;1;3;1;1;13;1;Amelia K.;6;1
1;1;1;1;3;1;1;1;12;1;Diego Y. D.;4;1
4;5;1;2;1;2;1;4;9;4;Aïcha H.;9;1
2;2;1;2;1;1;2;2;7;1;Harry O.;8;1
1;4;1;1;1;3;1;4;14;1;Takumi H.-M.;6;1
3;2;1;2;2;2;2;2;4;1;Ananya J. K.;5;1
3;2;1;2;2;2;1;2;1;1;Matteo C.;8;1
1;3;1;1;1;3;1;1;15;1;Aoi R. Y.;6;1
2;3;1;2;2;1;1;1;1;1;Tariro W.;8;1
5;1;1;2;1;1;1;2;8;1;Leïla O.;9;1
2;1;1;1;1;3;1;1;13;1;Giovanni L.;5;1
1;3;1;1;1;3;1;1;13;1;Hanane W.;6;1
3;3;1;2;1;1;1;2;5;1;Hugo K.;8;1
5;2;1;2;2;1;2;2;2;1;John A.;8;1
3;2;1;2;2;2;1;2;1;1;Diya W.-T.;8;1
3;1;1;2;2;3;1;2;5;1;Brahim C.;8;1
5;2;1;2;2;1;2;2;2;1;Saga W.;8;1
1;1;1;1;1;1;1;1;10;1;Imen F.;3;1
1;4;3;2;3;1;3;2;15;3;Wei T.-S.;8;1
5;1;1;1;1;3;1;1;10;1;Rossana B.;9;1
1;1;1;1;1;1;1;1;15;1;James J. J.;5;1
4;3;3;2;3;3;2;1;8;3;Takumi F.-Z.;5;1
5;1;1;1;1;1;1;3;10;1;Yacouba W.;9;1
4;5;1;2;1;1;1;2;14;1;Daisuke E.;9;1
5;1;1;2;1;1;1;4;8;1;Anna D.;9;1
1;1;1;1;1;3;1;1;11;1;Juan S.;5;1
3;2;1;2;2;1;1;4;1;1;Ruby C.;8;1
3;5;1;2;2;4;2;1;5;1;Maria H.;7;1
2;1;1;1;1;4;1;1;13;1;Wei W.;4;1
1;2;1;2;1;1;1;1;1;1;Yuki Y.;8;1
3;3;1;2;1;4;2;2;6;3;Lorenzo M.;8;1
5;2;1;2;2;1;2;2;2;1;Jack W.;8;1
4;2;1;2;2;2;2;1;2;1;Amina W.;3;1
4;4;3;2;3;1;1;1;16;3;Nour Y.;5;1
4;1;3;2;3;2;1;1;2;1;Federico Q.;4;1
2;4;1;2;1;2;2;2;9;1;Ahmed T.;9;1
5;1;1;1;1;1;1;2;12;1;Jessica U.;9;1
5;1;1;1;1;2;1;4;10;1;Aurélie A.;9;1
3;2;1;2;1;2;1;1;6;1;Kimi Z.;8;1
5;1;1;1;1;1;1;1;12;1;Raffaele Z.;9;1
4;1;2;2;3;2;1;1;2;1;Carmen B.;5;1
4;1;1;2;3;1;1;3;3;3;Chloé D.;5;1
4;1;1;1;1;3;1;1;11;1;Manon X.;5;1
1;2;1;2;2;3;2;1;2;4;Freya F.;4;1
1;1;1;1;1;1;1;1;13;1;Ali Q.;5;1
2;2;1;2;1;1;2;2;7;1;Latifa H.;8;1
2;4;3;1;1;3;1;1;14;1;Alexander X.;6;1
1;1;1;1;1;3;1;1;13;1;Youssef W.;4;1
3;2;1;2;2;1;2;2;5;1;Paul A. L.;8;1
3;2;1;2;2;2;1;2;1;1;Luc S.;8;1
2;2;1;2;2;3;1;1;5;1;Dalila J.;5;1
3;5;1;2;1;2;1;3;8;1;Hassan O.;9;1
5;1;1;1;1;2;1;2;7;1;Emma M.;9;1
2;1;1;1;1;3;1;1;13;1;Ismaël Z.;5;1
4;5;1;2;1;3;1;2;6;1;Matteo H.;9;1
1;4;1;2;3;2;1;2;5;1;Saga E.-M.;2;1
4;5;1;2;1;2;1;2;5;1;Louis U.;9;1
1;2;1;2;3;1;2;3;2;1;Jia N. Y.;5;1
2;1;1;1;1;3;1;1;13;1;Guillaume P.;4;1
2;3;1;2;2;1;1;1;1;1;Elisa R.;8;1
1;1;1;2;1;3;1;2;6;1;Fanta Q.;8;1
1;3;1;2;3;2;2;1;16;3;Henry K. B.;3;1
4;4;4;2;3;1;5;3;5;1;Hana H.;4;1
5;5;1;2;1;3;1;1;10;1;Federico U.;9;1
3;2;1;2;1;1;1;4;5;1;Boubacar B.;8;1
1;1;1;1;1;3;1;1;11;1;Kenta Z.;4;1
4;4;1;2;3;2;3;2;2;2;Leïla X.;8;1
5;4;1;1;1;3;1;1;14;1;Fernando K.;6;1
5;5;1;2;1;1;1;1;9;1;Luc V.-M.;9;1
2;1;1;1;1;3;1;1;13;1;John H.;4;1
1;1;1;1;1;3;1;1;10;1;Jack J.;4;1
4;5;1;2;1;2;1;2;9;1;Luc D.;9;1
5;1;1;1;1;2;1;4;13;1;Redouane X.;9;1
4;2;1;2;3;2;1;2;15;3;Chen R.;5;1
3;2;1;2;2;1;2;2;2;1;Luc N.;8;1
4;3;2;2;3;2;1;1;5;1;Seynabou T.;2;1
2;3;1;2;2;1;1;1;1;1;Li D.;8;1
4;1;4;2;3;1;1;3;2;3;Luigi U.;4;1
4;1;3;2;3;2;1;3;9;1;Moussa A.;3;1
2;2;3;2;3;2;1;4;4;1;Néné K.;5;1
5;2;1;2;2;1;2;2;2;1;Clément O.;8;1
4;2;1;2;2;3;2;2;1;1;Ai F.;7;1
1;1;1;1;1;3;1;3;11;1;Priya N. Z.;4;1
1;1;1;1;1;3;1;1;13;1;Adama J.;5;1
1;5;1;2;1;1;1;2;6;1;Ndiaye H.;9;1
3;2;1;2;1;1;2;2;6;1;Luigi O.;8;1
1;3;1;1;1;3;1;1;14;1;Antonio D.;6;1
