AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
1;4;1;2;3;1;1;2;2;1;Saga C. G.;3;1
4;2;1;2;3;1;3;2;1;1;Moussa U.;5;1
1;3;1;1;1;3;1;3;13;1;Franco L.;7;1
3;5;1;2;2;3;1;1;5;1;Adama C.;8;1
4;1;2;2;3;3;2;4;4;3;Thomas X.;8;1
5;2;1;2;3;3;1;3;13;1;Ali Q.;6;1
4;3;1;2;3;2;1;2;1;1;Giulia W.-Z.;4;1
4;2;1;2;3;1;1;4;1;1;Ruby C.;5;1
5;4;1;1;1;1;1;1;14;1;Fernando K.;6;1
2;2;1;2;1;2;1;2;8;1;Elsa H.;8;1
2;4;1;1;1;2;1;2;12;1;Yuki A.;8;1
4;1;2;2;3;2;1;3;5;3;Yui F. B.;5;1
1;3;1;1;1;1;1;1;14;1;Hicham W.;6;1
3;4;1;2;3;3;2;1;2;1;Maria H.;3;1
5;5;1;1;1;3;1;2;13;1;Youssef W.;4;1
1;1;1;1;1;2;2;2;9;1;Louis U.;8;1
2;4;1;1;1;1;1;1;14;1;Takumi H.-M.;6;1
1;1;1;1;1;1;1;1;10;1;James Q.;8;1
3;5;1;1;1;3;1;3;11;1;Amelia H.-M.;9;1
3;5;3;2;3;4;3;1;1;1;William G.;4;1
1;5;1;1;1;3;1;1;10;1;Redouane X.;9;1
4;1;1;2;1;3;1;4;8;1;Daniela G.;8;1
2;2;1;2;2;2;4;2;16;1;Kei E.;8;1
2;3;1;2;1;2;1;1;6;1;Daisuke E.;8;1
2;4;1;1;1;1;1;1;14;1;Eva K.;6;1
1;5;4;2;3;4;3;1;1;1;Li B. J.;7;1
1;1;1;1;1;1;1;1;8;1;Binta M.;9;1
4;2;1;2;2;1;1;3;2;1;Björn B.;8;1
5;3;1;1;1;3;1;1;13;1;Ignacio E.;6;1
3;1;1;1;1;1;1;1;13;1;Leïla O.;8;1
1;3;1;1;1;1;1;1;5;1;Catherine A.;9;1
5;2;1;2;2;2;2;1;2;1;Laura B.;8;1
5;3;1;1;1;1;1;1;13;1;Emma H.;6;1
2;4;1;2;2;3;2;1;6;1;Tariro W.;8;1
1;5;1;1;1;1;1;1;11;1;Diego Y. D.;9;1
1;2;1;1;1;2;1;1;10;1;Luc V.-M.;8;1
3;2;1;1;1;3;1;2;10;1;Li F.;9;1
3;2;1;2;3;2;5;3;1;1;Zanele L.;5;1
2;2;1;1;1;2;1;4;9;1;Aïcha H.;8;1
