AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
2;2;1;2;2;3;2;2;4;1;Hina K.-S.;5;1
3;1;1;1;2;1;4;1;6;1;Ismaël L.;8;1
2;2;1;2;2;1;2;1;5;1;Boubacar B.;8;1
2;4;1;1;1;1;1;4;14;1;Amelia F. T.;6;1
5;1;1;1;1;1;1;2;13;1;Inès Y.;9;1
5;1;1;1;1;3;1;1;14;1;Salma F.;5;1
5;1;1;1;1;1;1;2;11;1;Federico M.;9;1
3;1;1;2;2;2;3;2;2;1;Xiao R.-A.;5;1
2;3;1;1;1;1;1;4;14;1;Carlos J.;6;1
3;3;1;1;1;2;1;1;9;1;Sakura P. R.;8;1
3;3;1;2;2;2;2;1;2;1;Lars K.;4;1
2;3;1;1;1;1;1;4;15;1;Patricia W.;6;1
3;2;1;2;2;1;2;1;5;1;Luis K.;8;1
2;3;1;1;1;3;1;1;13;1;Sandra J.;6;1
4;1;2;2;3;2;3;3;7;1;Amelia L.-A.;1;1
4;3;3;2;3;2;2;1;1;1;Hana V.;4;1
1;2;1;2;2;2;2;3;5;1;Emma P.;8;1
2;3;1;1;1;1;1;4;13;1;Najet C.;6;1
3;1;1;2;2;2;2;4;6;1;Brahim C.;9;1
1;2;1;2;3;3;2;3;16;1;Laura Y.;5;1
3;2;1;1;2;1;5;2;1;1;Javier M.;8;1
1;4;3;2;3;2;1;2;5;2;Sofia X.;8;1
4;3;2;2;3;3;3;1;3;1;Seynabou T.;2;1
3;1;3;2;3;2;2;1;16;1;Noura T.;4;1
3;2;1;2;2;1;1;2;7;1;Ahmed T.;8;1
1;2;1;2;3;2;2;1;2;1;Ai F.;4;1
1;4;2;2;3;2;3;2;1;3;Chloé P.;4;1
3;2;1;2;2;2;5;2;8;1;Lea T.;8;1
4;2;1;2;2;3;1;3;5;1;Ali F.;8;1
3;2;1;2;3;1;1;2;1;1;Ruby C.;5;1
3;2;1;2;2;1;2;4;2;1;Aïcha S.;4;1
2;3;1;1;1;1;5;2;14;1;Sophie V.;6;1
2;3;1;1;1;1;1;4;13;1;Aurora N.-P.;6;1
2;4;1;1;1;3;2;4;15;1;Fernando K.;6;1
1;3;1;2;2;1;2;1;7;1;Ndiaye H.;8;1
3;5;1;2;2;3;2;1;1;1;Tariro W.;6;1
4;3;2;2;3;3;1;1;4;1;Takumi F.-Z.;5;1
4;3;1;1;2;1;5;1;9;1;Louis U.;8;1
3;2;3;2;3;2;1;1;2;1;Federico Q.;5;1
1;2;4;2;3;2;1;1;1;3;Thabo C.;5;1
2;2;1;2;3;2;1;2;1;3;Luc Z.;8;1
4;2;1;2;3;2;1;3;16;1;Maria H.;5;1
4;2;1;2;2;2;2;2;6;1;Kimi Z.;8;1
5;1;1;1;1;3;1;2;11;1;Aisha T. N.;9;1
5;1;1;1;1;1;1;2;13;1;Guillaume P.;9;1
4;3;1;2;3;1;2;2;15;3;Fatima R.;4;1
2;2;1;2;3;1;2;2;16;1;Charlotte T.;6;1
5;1;1;1;1;1;1;2;12;1;Chloé I.;9;1
4;1;1;1;1;3;2;2;13;1;Rossana B.;8;1
4;5;2;2;3;1;3;2;4;1;Kaori R.;5;1
5;4;1;1;1;3;1;2;11;1;Diego Y. D.;9;1
5;1;1;1;1;1;1;2;11;1;Juan S.;9;1
3;3;1;2;2;2;2;1;2;1;Mei F.;4;1
3;5;3;2;2;3;2;1;1;1;Li D.;6;1
1;4;1;1;2;2;1;2;9;1;Luca V.;8;1
3;1;1;2;2;3;2;1;5;4;Giovanni T.;8;1
2;1;1;1;1;3;1;1;13;1;Ali S.-L.;8;1
4;2;3;2;3;2;2;2;1;3;Moussa U.;5;1
4;4;1;2;3;4;3;2;1;1;Clara G.;4;1
5;1;1;1;1;3;1;1;14;1;Bao G.;5;1
4;4;1;2;3;1;1;1;7;2;Lorenzo Y.;8;1
3;2;1;2;2;2;2;1;2;1;Vivaan A.;5;1
5;1;1;1;1;1;1;1;14;1;Valentin P.;5;1
2;3;1;1;1;1;1;4;14;1;James C. K.;6;1
5;1;1;1;1;3;1;2;12;1;Manon X.;9;1
2;2;1;2;2;1;1;2;6;1;Simone I.;8;1
4;3;1;2;2;1;2;1;6;1;Hugo K.;8;1
3;2;1;2;3;1;3;2;1;1;Jack W.;8;1
1;5;1;1;1;2;2;2;10;1;Jessica U.;8;1
2;1;1;1;1;3;1;1;13;1;Ignacio E.;6;1
1;2;1;2;2;1;1;2;1;1;Diya W.-T.;3;1
4;1;1;1;1;3;2;2;11;1;Aurélie A.;8;1
5;1;1;1;1;1;1;2;14;1;Youssef W.;9;1
1;5;1;1;1;1;2;2;10;1;Pedro G.;8;1
3;2;1;2;2;2;2;2;2;1;Martin L.;5;1
4;4;2;2;3;2;2;1;3;1;Aziz S.;2;1
5;1;1;1;1;3;1;1;11;1;Priya N. Z.;9;1
4;3;1;2;2;1;2;1;6;1;Julien Z.;8;1
5;1;1;1;1;3;2;2;11;1;Abibatou C.;9;1
2;4;1;1;1;1;2;4;15;1;Sekou L.;6;1
5;5;1;1;1;1;1;2;11;1;Binta M.;8;1
5;1;1;1;1;1;1;1;13;1;Luca D.-E.;5;1
4;3;1;2;3;2;2;1;3;1;Hina R.;2;1
2;2;1;1;2;3;5;1;8;1;Lucie D.;8;1
2;3;1;1;1;1;1;1;13;1;Hanane W.;5;1
1;1;1;1;1;1;1;1;14;1;Lucie Z.;6;1
5;5;1;1;1;2;1;2;10;1;Vivaan Z.;8;1
5;1;1;1;1;3;1;1;14;1;Giovanni L.;5;1
3;1;1;2;3;2;1;2;3;1;Freya F.;5;1
2;1;1;1;1;1;1;2;13;1;Benoît F.;6;1
