AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
5;5;1;1;1;1;1;2;10;1;Noura O.;8;1
1;4;1;1;1;3;1;4;14;1;Takumi H.-M.;9;1
5;5;1;1;1;3;1;1;11;1;Bilal F.;9;1
4;5;1;1;1;2;1;2;9;1;Anna D.;8;1
1;2;1;2;2;3;1;2;1;1;Khady D.;3;1
3;2;1;2;1;2;2;1;6;1;Nathan V. R.;8;1
4;1;4;2;3;1;2;3;1;1;Yui F. B.;2;1
5;5;1;1;1;3;1;1;11;1;Diego Y. D.;9;1
1;2;1;2;2;3;1;2;1;1;Néné K.;3;1
1;3;1;1;1;3;1;1;13;1;Kenza Q.;7;1
5;5;1;1;1;1;1;2;10;1;Rami T.;9;1
3;5;1;2;1;4;2;1;1;1;Adama C.;8;1
4;5;1;1;1;3;1;1;10;1;Sofiane T.;8;1
1;3;1;2;2;2;2;1;9;1;Freya F.;4;1
5;3;1;1;1;1;1;1;12;1;John H.;6;1
5;5;1;1;1;3;1;1;15;1;Han Y.;8;1
2;4;1;1;1;3;1;4;14;1;Alexander X.;8;1
4;1;1;2;1;1;2;1;15;1;Wei A.;8;1
3;1;1;2;2;2;2;2;1;1;Amina Z. G.;4;1
3;2;1;2;2;1;1;2;3;1;Hugo W.;3;1
1;4;2;2;3;2;1;2;1;1;Chloé P.;3;1
3;1;1;2;1;2;1;1;8;1;Daniela G.;8;1
3;2;1;2;2;2;1;1;6;1;Björn B.;8;1
2;3;1;1;1;1;1;1;13;1;Emma H.;5;1
1;2;1;2;2;1;3;1;2;1;Diya W.-T.;4;1
1;3;1;1;1;3;1;1;14;1;Riko J.;5;1
4;4;2;2;3;1;1;2;5;2;Hana H.;6;1
4;3;1;2;3;2;4;2;2;1;Riko B.;8;1
3;2;1;2;2;1;2;2;1;1;Ananya J. K.;3;1
3;2;1;2;2;1;1;2;2;1;Fatima V.;6;1
2;5;1;1;1;1;1;2;9;1;Yuna H.;8;1
3;5;1;2;1;1;1;3;5;1;Hina K.-S.;8;1
2;4;1;1;1;3;1;4;14;1;Sophie V.;8;1
1;4;4;2;3;1;1;3;6;3;Laura M.;5;1
1;5;1;1;1;2;1;2;7;1;Louis U.;8;1
3;4;1;1;1;2;1;2;10;1;Yuki A.;8;1
3;5;1;1;1;4;1;2;7;1;Javier M.;8;1
5;1;1;1;1;3;1;1;12;1;Priya N. Z.;9;1
4;3;3;2;3;3;4;1;1;1;Rémi C.;2;1
5;3;1;1;1;3;1;1;13;1;Bao G.;4;1
2;3;1;1;1;1;1;1;13;1;Amelia K.;5;1
5;1;1;1;1;1;1;1;11;1;Aisha T. N.;9;1
