AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
4;5;2;2;3;2;1;2;5;2;Lorenzo Y.;8;1
1;5;1;2;3;2;2;2;3;3;Saga C. G.;4;1
4;5;1;2;3;2;5;2;8;4;Luigi U.;6;1
5;1;1;1;1;3;1;1;11;1;Adam W. V.;8;1
3;2;1;2;2;2;2;2;1;1;Aïcha S.;5;1
3;2;1;2;2;1;1;2;6;1;Harry O.;7;1
5;1;1;1;1;1;1;1;11;1;Kenta Z.;8;1
5;1;1;1;1;3;1;1;13;1;Emma H.;8;1
2;1;1;1;1;3;1;4;14;1;Eva K.;8;1
5;1;1;1;1;3;1;1;13;1;Lucia Y.-G.;8;1
2;1;1;1;1;2;1;2;9;1;Lucie D.;9;1
5;1;1;1;1;1;1;2;12;1;Chloé C.;8;1
1;5;3;2;3;1;3;2;2;2;Wei T.-S.;8;1
5;1;1;1;1;3;1;1;11;1;Wei W.;8;1
5;1;1;1;1;3;1;1;14;1;Sophie V.;8;1
4;5;1;2;3;2;2;2;3;3;Yui F. B.;6;1
2;1;1;1;1;1;1;2;1;1;Alessandro W. Y.;9;1
1;1;1;1;1;3;1;1;14;1;Najet C.;8;1
5;2;1;2;1;2;1;2;7;1;Adrian D.;9;1
3;1;1;2;2;1;1;1;4;1;Björn B.;6;1
1;1;1;2;2;3;1;1;1;1;Léa V.;4;1
4;5;2;2;3;2;3;4;2;1;Claire H. D.;8;1
3;2;1;2;2;2;2;3;2;1;Dalila J.;5;1
4;5;1;2;3;1;2;1;16;1;Nour Y.;4;1
3;5;1;2;3;4;2;4;1;1;Takumi A.;4;1
2;1;1;1;1;2;1;1;14;1;Aurélie G.;9;1
1;1;1;1;1;3;1;1;14;1;Ali S.-L.;8;1
4;5;3;2;3;1;2;4;8;1;George K.;2;1
5;1;1;1;1;3;1;1;13;1;George N.-M.;8;1
4;5;1;2;3;2;3;3;1;4;Fatou G.;2;1
2;2;1;2;2;1;1;3;15;1;Jabari B.;9;1
3;1;1;2;2;1;1;2;4;1;Latifa H.;7;1
3;1;1;2;2;2;1;1;2;1;Matteo C.;6;1
4;5;1;2;3;1;1;1;3;3;Takumi F.-Z.;3;1
5;1;1;1;1;3;1;1;13;1;Valentina V.;8;1
5;1;1;1;1;1;1;1;11;1;Julien P.;8;1
5;1;1;1;1;3;1;1;13;1;Riko J.;8;1
1;1;1;1;1;3;1;1;14;1;Carlos J.;8;1
3;2;1;2;2;2;2;2;1;1;Elisa R.;5;1
3;1;1;1;1;1;1;1;7;1;Gabriella F.;7;1
4;1;1;1;1;1;1;2;8;1;Cristina M.;8;1
3;2;1;1;1;2;1;2;6;1;Aïcha H.;9;1
3;2;1;2;2;2;1;2;5;1;Luigi O.;6;1
1;1;1;1;1;3;1;1;14;1;Sandra J.;8;1
1;2;1;2;2;1;1;1;2;1;Ai F.;6;1
5;2;1;2;2;2;1;2;7;1;Nicola Y.;7;1
3;1;1;2;2;2;1;1;2;1;Diya W.-T.;6;1
5;1;1;1;1;3;1;1;13;1;Charlotte S.-C.;8;1
3;2;1;2;2;2;2;3;2;1;Daiki W.;5;1
4;1;1;1;1;3;1;2;10;1;Rami T.;8;1
5;1;1;1;1;3;1;1;12;1;Juan S.;8;1
4;5;1;2;3;2;2;1;2;2;Ethan X.;5;1
5;1;1;1;1;3;1;1;12;1;Jack J.;8;1
5;1;1;1;1;3;1;1;13;1;Alexander W.;8;1
4;2;1;2;2;2;1;1;2;1;Mia J.;5;1
1;1;1;1;1;3;1;1;14;1;Sofia P.;8;1
2;1;1;2;2;3;1;3;1;1;Hugo W.;6;1
4;1;1;1;1;1;1;2;9;1;Astrid K.;8;1
2;1;1;1;1;3;1;4;14;1;Lina E. R.;8;1
3;5;1;2;3;1;1;1;2;1;Federico Q.;5;1
5;1;1;1;1;3;1;1;11;1;Guillaume P.;8;1
5;1;1;1;1;3;1;1;12;1;Bilal F.;8;1
4;5;3;2;3;1;2;2;15;1;Chen R.;3;1
1;2;1;2;2;1;1;1;2;1;Giulia W.-Z.;6;1
3;2;1;2;2;2;2;2;1;1;Marina P.;5;1
4;1;1;1;1;3;1;2;11;1;Sofiane T.;8;1
5;1;1;1;1;1;1;1;11;1;Francisco O.;8;1
4;5;2;2;3;2;4;4;9;1;Carmen B.;2;1
3;2;1;2;2;1;1;3;7;1;Ndiaye H.;9;1
1;1;4;2;2;1;1;3;6;1;Ahmed T.;9;1
3;2;1;2;1;1;1;2;6;1;Lea T.;9;1
5;1;1;1;1;3;1;1;12;1;Abibatou C.;8;1
4;1;1;1;1;1;1;2;11;1;Noura O.;8;1
4;1;1;1;1;1;1;2;10;1;Han Y.;8;1
2;1;1;1;1;3;1;4;14;1;Isla K.;8;1
3;1;1;1;1;1;1;2;10;1;Federico U.;7;1
1;2;1;2;2;1;1;1;2;1;Naoko Z.;6;1
2;1;1;1;1;3;1;1;14;1;Fernando K.;8;1
1;1;1;1;1;3;1;1;14;1;Ndiaye T.;8;1
4;5;2;2;3;4;2;1;7;3;Caterina Q.;4;1
4;1;1;2;1;1;1;2;7;1;Lucas T.;8;1
3;1;1;1;1;1;1;1;9;1;Sakura P. R.;8;1
3;1;1;2;2;4;1;4;6;1;Hugo E. A.;9;1
4;1;1;1;1;1;1;2;8;1;Jessica U.;8;1
2;2;1;2;2;2;1;2;6;1;Lorenzo M.;9;1
1;1;1;1;1;2;1;2;4;1;Louis U.;9;1
4;1;1;2;2;1;1;3;1;1;Amina Z. G.;9;1
1;5;1;2;3;2;2;2;1;4;Li B. J.;4;1
4;1;1;1;1;1;1;1;5;1;Luca V.;9;1
5;1;1;1;1;3;1;1;13;1;Giovanni L.;8;1
3;5;1;2;3;4;2;4;1;1;Amina W.;4;1
2;2;1;2;2;1;1;3;15;1;Kei E.;5;1
4;5;3;2;3;1;2;1;9;1;Hina R.;5;1
4;1;1;1;1;3;1;2;10;1;Mia M.;9;1
4;5;2;2;3;2;3;1;15;1;Khady S.;8;1
4;5;1;2;3;2;4;4;7;1;Kaori R.;6;1
5;1;1;1;1;3;1;1;13;1;Lucie Z.;8;1
4;1;1;2;1;2;1;2;10;1;Thomas T.;8;1
3;1;1;2;2;1;2;1;1;1;Laura Y.;5;1
1;5;1;2;3;2;1;2;16;1;Moussa U.;5;1
4;1;1;2;2;1;1;3;6;1;Wei A.;9;1
5;1;1;1;1;3;1;1;11;1;Aisha T. N.;8;1
4;2;1;2;2;1;1;2;1;1;Luc N.;5;1
4;5;1;2;3;2;3;1;1;1;Leïla X.;8;1
1;1;1;1;1;3;1;1;14;1;Hanane W.;8;1
4;5;1;2;3;2;2;1;1;1;Mia P.;6;1
3;2;1;2;2;3;1;2;8;1;Elsa H.;9;1
4;5;1;2;3;1;3;1;9;1;Clara G.;2;1
5;2;1;2;2;4;1;2;6;1;Hugo Y.;6;1
3;2;1;2;2;1;1;3;6;1;Hugo K.;9;1
2;1;1;1;1;3;1;1;9;1;Karl J. B.;8;1
4;1;1;2;2;1;2;2;7;1;Omar C. N.;8;1
1;1;1;1;1;3;1;1;14;1;Vincent S.;8;1
1;5;1;2;3;2;2;1;1;1;Fatima R.;6;1
2;1;1;2;2;3;1;2;5;1;Corentin M.;8;1
3;1;1;2;2;2;1;1;2;1;Zanele L.;6;1
4;5;1;2;3;2;2;1;1;1;Hana V.;6;1
1;5;3;2;3;1;2;1;1;1;Thabo B.;6;1
4;5;2;2;3;1;1;1;5;3;Moussa A.;5;1
2;2;1;2;2;1;2;4;7;1;Adama C.;7;1
4;1;1;1;1;1;1;2;10;1;Yacouba W.;8;1
4;5;4;2;3;2;2;1;3;3;Moussa R.;3;1
5;1;1;1;1;3;1;1;13;1;Andrea C.;8;1
5;1;1;1;1;3;1;1;13;1;Harry Z.;8;1
3;5;1;2;3;2;2;1;16;1;Thabo C.;6;1
4;5;3;2;3;1;5;1;4;1;Chloé D.;7;1
1;5;4;2;3;2;3;1;16;3;Saga E.-M.;4;1
3;2;1;2;2;2;2;3;2;1;Aisha F.;5;1
3;2;1;2;2;2;2;3;2;1;Sofia F.-V.;5;1
5;1;1;1;1;3;1;1;13;1;John H.;8;1
5;1;1;1;1;3;1;1;13;1;Ismaël Z.;8;1
4;1;1;2;1;2;1;2;7;1;James Q.;7;1
1;5;1;2;3;2;1;2;1;1;William G.;5;1
5;1;1;1;1;3;1;2;11;1;Federico M.;8;1
2;1;1;1;1;3;1;1;13;1;Franco L.;8;1
5;1;1;1;1;3;1;1;11;1;Priya N. Z.;8;1
2;1;1;1;1;3;1;4;14;1;Thomas Q.;8;1
2;5;1;2;3;2;2;3;1;1;Henry K. B.;4;1
5;1;1;1;1;1;1;2;12;1;Diego Y. D.;8;1
1;5;3;2;3;2;1;1;8;1;Sofia X.;4;1
3;5;1;2;3;3;2;2;1;1;Khady D.;4;1
3;2;1;2;2;2;2;2;1;1;Freya F.;5;1
5;1;1;1;1;3;1;1;13;1;Inès Y.;8;1
3;2;1;2;2;2;1;2;5;1;Paul A. L.;6;1
2;2;1;2;2;1;1;2;1;1;Li D.;5;1
3;2;1;2;2;4;1;1;7;1;Hassan O.;9;1
5;1;1;1;1;3;1;1;13;1;Adama J.;8;1
2;1;1;1;1;2;1;2;9;1;Yuki A.;7;1
2;1;1;1;1;1;1;1;10;1;Lina Z.;8;1
5;1;1;1;1;1;1;1;11;1;Jia V. R.;8;1
4;2;1;1;1;2;1;1;6;1;Carlos Z.;9;1
5;1;1;1;1;3;1;1;13;1;Elena M.;8;1
4;1;1;1;1;2;1;2;5;1;Paul H.;9;1
4;1;1;2;2;2;2;2;6;1;Luis K.;7;1
5;1;1;1;1;3;1;1;13;1;Luca D.-E.;8;1
2;1;1;2;2;3;1;3;1;1;John A.;6;1
2;1;1;2;2;3;1;3;1;1;Clément O.;6;1
1;1;1;1;1;3;1;1;16;1;Ignacio E.;8;1
2;2;1;1;1;1;1;2;9;1;Fang C.-Z.;9;1
1;2;1;2;2;2;1;4;5;1;Yuki Y.;5;1
3;5;1;2;3;3;2;2;1;1;Néné K.;4;1
4;1;1;1;1;3;1;2;10;1;Pedro G.;8;1
4;1;1;2;2;2;2;1;1;1;Noura T.;6;1
3;2;1;2;2;2;2;2;1;1;Maria H.;5;1
4;1;1;1;1;3;1;2;11;1;Rossana B.;8;1
3;1;1;2;2;3;1;2;4;1;Issa I.;5;1
3;1;1;2;2;2;1;3;6;1;Simone I.;9;1
5;1;1;1;1;1;1;2;12;1;Emma S.;8;1
5;2;1;1;1;2;1;2;16;1;Luke U.;9;1
5;1;1;1;1;3;1;1;11;1;Valentin P.;8;1
5;1;1;1;1;3;1;1;13;1;Ben B.;8;1
1;2;1;2;2;1;1;1;2;1;Mei F.;6;1
2;1;1;2;2;3;1;3;1;1;Fatima V.;6;1
4;1;1;1;1;3;1;2;10;1;Paul E.;8;1
2;1;1;1;1;1;1;1;10;1;Redouane X.;8;1
4;5;1;2;3;2;1;2;2;1;Sora W.;5;1
4;5;3;2;3;2;2;2;4;2;Thomas X.;2;1
3;2;1;2;2;1;2;3;2;1;Charlotte T.;4;1
1;1;1;1;1;3;1;1;14;1;Patricia W.;8;1
4;2;1;2;2;1;1;2;2;1;Luis R.;5;1
4;1;1;1;1;3;1;2;7;1;Catherine A.;8;1
