AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
4;4;1;2;2;3;3;2;1;1;Ai F.;5;1
1;5;1;1;1;1;2;2;11;1;Lucas T.;9;1
5;4;1;2;1;2;2;1;7;1;Pedro D.;8;1
1;2;1;2;3;2;1;2;1;1;Néné K.;6;1
1;5;1;1;1;3;2;3;9;1;Carlos Z.;9;1
4;2;1;2;3;2;2;2;2;1;Moussa U.;4;1
5;4;1;2;2;2;2;2;1;1;Issa I.;8;1
1;5;1;1;1;1;2;4;6;1;Paul H.;8;1
4;2;1;2;3;2;4;4;9;1;Moussa R.;4;1
5;1;1;2;3;3;2;1;5;1;Hina K.-S.;8;1
1;5;1;1;1;1;1;3;11;1;Marie T.-C.;5;1
1;4;3;2;3;2;1;2;6;1;Thabo B.;3;1
1;5;1;1;1;3;1;4;10;1;Rami T.;9;1
2;3;1;1;1;1;1;1;14;1;Vincent S.;6;1
2;4;1;2;2;1;3;2;3;1;Mia J.;8;1
2;3;4;2;1;3;5;4;14;1;Fanta X.;7;1
3;2;1;2;3;4;2;1;2;1;Takumi A.;5;1
1;5;1;1;1;3;1;2;12;1;Li F.;9;1
1;5;1;1;1;3;1;4;10;1;Pedro G.;9;1
1;2;1;1;1;3;1;3;13;1;Guillaume P.;3;1
3;5;1;1;1;2;2;1;9;1;Luc D.;9;1
4;1;3;2;3;2;4;3;15;2;Claire H. D.;8;1
4;4;1;2;3;1;1;1;2;1;Leïla X.;8;1
4;4;1;2;3;3;3;1;11;1;Lorenzo Y.;8;1
1;1;1;2;2;1;1;3;1;1;Diya W.-T.;5;1
3;5;1;1;1;3;1;2;10;1;Binta M.;9;1
2;4;1;2;2;1;1;1;1;1;Marina P.;3;1
1;4;3;2;3;2;1;2;1;2;Wei T.-S.;8;1
4;2;1;2;2;4;1;1;2;1;Tariro W.;8;1
1;5;1;2;1;2;2;1;6;1;Lea T.;8;1
4;3;1;2;3;1;3;2;1;1;Mia P.;5;1
1;5;1;1;1;2;2;1;9;1;Lucie D.;8;1
2;3;1;1;1;3;1;1;14;1;Antonio H.;6;1
5;3;1;1;1;3;1;1;13;1;Sofia P.;6;1
2;3;1;1;1;3;1;1;13;1;Aoi R. Y.;6;1
3;2;1;2;2;2;3;2;16;1;Ananya J. K.;2;1
1;2;1;2;2;2;1;2;5;1;Daiki W.;8;1
2;4;1;2;2;4;1;1;1;1;Freya F.;8;1
4;1;3;2;3;2;2;3;8;3;Fatou G.;5;1
4;1;3;2;3;3;4;4;2;2;Khady S.;8;1
3;5;1;1;1;1;1;2;12;1;Imen F.;3;1
1;2;1;2;3;2;2;2;2;1;Thabo C.;5;1
1;4;2;2;3;2;3;2;5;1;Laura M.;3;1
1;2;1;1;1;3;1;1;14;1;Wei W.;5;1
1;1;1;2;2;2;3;2;3;1;Li D.;8;1
5;5;1;2;1;1;1;1;6;1;Wei A.;8;1
5;4;1;2;1;1;1;2;5;1;Hannah U.;8;1
2;5;1;2;2;1;3;1;16;1;Maria H.;4;1
4;1;1;2;2;1;1;4;1;1;Zanele L.;5;1
4;1;2;2;3;1;1;3;2;1;Finn R.;4;1
1;2;1;1;1;3;1;1;12;1;Xiao D.;4;1
2;4;1;1;1;3;1;1;14;4;Fernando K.;7;1
3;2;1;2;2;2;1;1;16;1;Takeshi T.;2;1
3;3;1;1;1;3;1;1;12;1;Aisha T. N.;4;1
1;5;1;1;1;3;1;4;10;1;Mia M.;9;1
2;3;1;1;1;3;1;1;14;1;Antonio D.;6;1
2;3;1;1;1;3;1;1;14;1;Thomas Q.;6;1
3;5;1;1;1;3;1;2;11;1;Adrien N.;9;1
5;3;1;2;3;1;2;2;2;1;Kei Q.;8;1
2;3;1;1;1;3;1;1;14;1;Sandra J.;6;1
4;3;1;2;3;2;1;1;2;1;William J.;4;1
3;5;1;1;1;1;1;1;12;1;Isabel X.;5;1
2;3;1;1;1;3;1;1;14;1;Patricia W.;6;1
5;2;1;2;2;1;3;2;1;1;Lars K.;5;1
3;5;1;1;1;2;2;1;9;1;Alessandro W. Y.;8;1
3;5;1;1;1;1;1;2;5;1;Thomas T.;9;1
5;4;1;2;1;4;2;1;2;1;Harry O.;8;1
5;1;1;2;2;2;1;1;5;1;Vivaan A.;8;1
1;2;1;1;1;3;1;1;13;1;Giovanni L.;3;1
4;1;1;2;2;4;2;1;4;1;Luc S.;8;1
5;1;1;2;1;2;2;2;2;1;Paul A. L.;8;1
1;5;1;1;1;1;1;1;10;1;Han Y.;9;1
5;4;1;2;1;2;1;2;2;1;Camille R.;8;1
3;5;1;2;1;2;2;1;8;1;Daisuke E.;8;1
5;5;1;2;1;2;2;1;6;1;Ahmed T.;8;1
3;3;1;1;1;3;1;1;12;1;Harry Z.;4;1
3;5;1;1;1;3;2;2;6;1;Marina K.;9;1
4;2;1;2;3;1;1;4;15;1;Andres X.;5;1
4;1;3;2;3;2;2;3;9;3;Thomas X.;8;1
5;4;1;2;1;1;2;1;6;1;Latifa H.;8;1
4;4;2;2;3;4;3;2;2;3;Caterina Q.;3;1
4;1;3;2;3;1;2;3;7;1;Sora W.;4;1
5;3;1;2;2;1;1;2;2;1;Björn B.;8;1
1;5;1;1;1;3;1;2;12;1;Karl J. B.;9;1
3;5;1;1;1;2;2;1;8;1;Fang C.-Z.;8;1
1;2;1;1;1;3;1;3;11;1;Manon X.;3;1
5;2;1;2;2;1;3;2;1;1;Xiao R.-A.;3;1
1;5;1;1;1;1;1;1;10;1;Li E.;9;1
