AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
5;1;1;1;1;3;1;1;14;1;Salma F.;7;1
4;2;1;2;2;3;2;3;2;1;Elsa H.;6;1
1;4;1;2;3;2;5;2;5;2;Chloé P.;3;1
2;3;1;1;1;3;1;1;13;1;Fernando K.;6;1
3;2;1;2;2;3;2;4;5;4;Dalila J.;5;1
2;3;1;1;1;1;1;3;11;1;Chloé C.;7;1
3;5;1;1;1;1;1;2;8;1;Thomas T.;7;1
3;4;1;1;1;1;1;2;9;1;Gabriella F.;7;1
5;1;1;1;1;3;1;1;10;1;Isabel X.;7;1
2;2;1;2;2;2;1;2;2;1;Nathan V. R.;5;1
2;4;1;2;2;2;1;2;2;1;Tariro W.;4;1
3;2;1;2;2;3;2;4;1;1;Daiki W.;6;1
2;1;1;1;1;3;1;4;13;1;Aurora N.-P.;7;1
4;3;3;2;3;2;3;1;15;1;Riko B.;7;1
4;3;1;1;1;1;1;2;10;1;Abibatou C.;7;1
2;5;1;1;1;4;1;3;13;1;Sekou L.;6;1
3;5;1;1;1;1;1;1;12;1;Diego Y. D.;7;1
2;3;1;2;2;3;1;2;2;1;Adama C.;5;1
1;3;1;2;2;2;2;1;6;1;Luigi O.;6;1
1;5;1;1;1;1;1;2;10;1;Rossana B.;7;1
5;1;1;1;1;3;1;1;14;1;Riko J.;7;1
3;2;1;2;2;2;2;2;6;1;Hugo Y.;5;1
2;4;1;1;1;2;1;3;8;1;Fang C.-Z.;7;1
1;1;1;1;1;1;1;1;10;1;Henry O.;7;1
4;1;2;2;3;1;5;2;7;3;Amelia L.-A.;4;1
2;1;3;2;3;1;2;1;16;4;Li B. J.;6;1
1;1;1;1;1;3;1;1;12;1;Hanane W.;7;1
2;1;1;1;1;3;1;1;14;1;Franco L.;7;1
4;2;3;2;2;2;1;4;1;3;Matteo C.;4;1
2;3;1;1;1;3;1;1;13;1;Lina E. R.;7;1
5;3;1;1;1;3;1;1;11;1;Youssef W.;7;1
5;1;1;1;1;3;1;1;14;1;Ismaël Z.;7;1
3;2;3;2;2;1;1;1;15;3;Sofia F.-V.;5;1
4;5;1;1;1;1;1;3;11;1;Amina L.;7;1
4;3;1;1;1;1;1;2;9;1;Louis U.;7;1
3;5;1;1;1;1;1;2;7;1;Marina K.;7;1
5;3;1;1;1;3;1;1;13;1;Lucie Z.;7;1
3;2;3;2;2;1;1;2;1;1;Fatima V.;4;1
3;1;1;1;1;3;1;1;14;1;Ali S.-L.;7;1
3;1;1;1;1;3;1;1;14;1;Benoît F.;7;1
4;5;1;1;1;1;1;1;9;1;Li E.;7;1
4;4;3;2;3;1;2;1;4;3;Kaori R.;7;1
2;5;1;1;1;1;1;1;9;1;Luc V.-M.;7;1
3;2;1;2;2;1;3;2;6;1;Simone I.;5;1
3;1;1;1;1;3;1;1;12;1;Hicham W.;7;1
1;3;1;2;2;1;2;2;2;1;Fanta Q.;5;1
1;4;3;2;3;2;1;3;1;4;Sofia X.;3;1
1;3;1;2;2;1;2;1;8;1;Vivaan A.;4;1
4;5;4;2;3;2;1;1;15;3;George P.;3;1
1;2;3;2;2;1;2;2;15;1;Clément O.;5;1
1;2;1;2;3;2;2;1;16;1;Thabo C.;4;1
2;3;1;1;1;3;1;1;12;1;Rachid S.;7;1
5;4;1;2;3;1;1;1;11;1;Juan S.;7;1
5;5;1;2;2;4;1;2;6;1;Hassan O.;5;1
