AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
5;1;1;1;1;1;1;2;12;1;Juan S.;9;1
3;1;1;1;1;1;1;1;8;1;Luca V.;8;1
5;2;1;2;1;1;5;2;7;1;Lucie D.;8;1
5;1;1;1;1;3;1;2;11;1;Federico M.;9;1
2;5;1;1;1;1;2;2;10;1;Han Y.;8;1
1;2;1;2;2;1;1;2;6;1;Emma P.;8;1
5;1;1;1;1;1;1;1;11;1;Diego Y. D.;9;1
4;1;2;2;3;2;1;3;1;1;Moussa A.;4;1
4;2;1;2;3;2;1;1;2;1;William G.;5;1
1;4;3;2;3;1;1;2;1;1;Sofia X.;3;1
3;2;1;2;2;2;2;2;6;1;Nathan V. R.;8;1
1;5;1;1;1;1;2;2;10;1;Raffaele Z.;8;1
5;2;1;2;1;2;5;1;8;1;Paul H.;8;1
3;3;1;2;2;2;2;2;2;1;Luc N.;6;1
2;3;1;1;1;3;1;4;14;1;Patricia W.;6;1
1;4;2;2;3;2;1;2;5;1;Chloé P.;2;1
4;1;3;2;3;2;4;3;15;2;Claire H. D.;8;1
2;2;1;1;1;1;1;3;8;1;Carlos Z.;8;1
3;2;1;2;2;2;2;1;6;1;Kimi Z.;8;1
5;1;1;1;1;3;1;3;15;1;Vincent S.;6;1
5;1;1;1;1;3;1;1;14;1;Ignacio E.;7;1
1;2;1;2;2;2;2;2;2;1;Harry O.;8;1
1;1;1;2;2;1;2;2;6;1;Ali F.;8;1
1;1;3;2;3;3;3;1;1;1;Ndiaye P.;3;1
3;2;1;2;2;2;1;2;5;1;Latifa H.;8;1
2;1;1;1;1;3;2;1;10;1;Luc D.;8;1
1;4;2;2;3;2;3;2;5;1;Laura M.;3;1
1;4;3;2;3;1;3;2;2;1;Hana V.;5;1
1;2;1;2;1;2;5;1;5;1;Alessandro W. Y.;8;1
4;1;3;2;3;2;4;2;2;2;Tamsir K.;8;1
4;3;3;2;3;1;1;1;15;4;Riko B.;3;1
3;5;1;1;1;1;2;2;7;1;James Q.;8;1
3;3;1;2;2;2;1;2;1;1;Lars K.;5;1
3;2;1;2;3;2;3;2;5;1;Laura Y.;3;1
2;5;4;1;3;3;1;4;14;1;Amelia F. T.;7;1
2;2;1;2;2;1;2;1;4;1;Daiki W.;4;1
4;1;2;2;3;2;4;1;9;2;Matteo F.;4;1
5;1;1;1;1;3;1;1;13;1;Inès Y.;9;1
5;4;1;1;1;1;1;1;12;1;Amelia H.-M.;9;1
4;2;1;2;2;2;3;2;1;1;Zanele L.;5;1
5;3;1;1;1;3;1;1;13;1;Ali S.-L.;6;1
3;4;1;2;2;2;3;2;1;1;Ananya J. K.;8;1
1;2;4;2;3;3;3;1;9;3;Saga C. G.;4;1
3;1;1;1;1;3;1;2;14;1;Hicham W.;7;1
5;3;1;1;1;3;1;1;15;1;Adama J.;6;1
2;2;1;2;2;2;2;4;2;1;Martin N.;8;1
2;3;1;2;1;4;2;1;7;1;Jabari B.;8;1
2;2;1;2;2;3;2;4;2;1;Kei E.;5;1
4;2;1;2;1;3;5;1;8;1;Ismaël L.;8;1
4;2;1;2;2;2;1;2;1;1;Ruby C.;5;1
4;1;1;2;2;1;2;3;1;1;Brahim C.;7;1
5;3;4;1;1;3;1;3;14;3;Pablo W.;7;1
1;1;3;2;3;1;1;2;4;1;Federico Q.;6;1
2;4;1;1;1;3;2;4;14;1;James C. K.;6;1
4;3;1;2;3;2;2;2;16;1;Bilal A.;8;1
3;2;1;2;3;2;1;2;1;1;Takumi A.;5;1
2;1;1;1;1;3;1;4;14;1;Sofia K.;7;1
4;2;1;2;1;2;1;2;7;1;Ahmed T.;8;1
3;5;1;1;1;1;1;2;10;1;Henry O.;8;1
3;2;1;2;3;3;2;2;16;1;Henry K. B.;4;1
4;2;1;2;2;2;2;4;6;1;Boubacar B.;8;1
3;5;1;2;2;2;1;1;1;1;Elisa R.;4;1
2;5;1;1;1;1;2;2;11;1;Rossana B.;8;1
3;1;1;1;1;1;1;4;11;1;Chloé C.;8;1
4;2;1;2;1;1;1;2;6;1;Hugo K.;8;1
1;4;1;1;1;3;1;1;10;1;Krishna P.-L.;8;1
3;5;1;2;2;2;2;2;1;1;Xiao R.-A.;4;1
2;2;1;2;2;1;2;2;2;1;Kimi S.;5;1
5;1;1;1;1;3;1;3;13;1;Guillaume P.;9;1
4;2;1;2;2;3;1;2;2;1;Luis K.;8;1
5;4;1;1;1;1;1;1;12;1;Julien P.;9;1
1;4;3;2;3;2;1;2;1;2;Wei T.-S.;8;1
5;3;1;1;1;3;1;1;11;1;Youssef W.;9;1
3;1;1;2;1;3;5;1;6;1;Javier M.;8;1
4;2;3;2;3;2;4;1;3;3;Moussa R.;7;1
2;4;1;1;1;3;1;1;10;1;Emma M.;8;1
3;2;1;2;2;2;2;2;2;1;Saga W.;5;1
1;1;1;2;3;3;2;1;16;1;Li B. J.;7;1
4;2;3;2;3;4;4;4;16;1;Moussa U.;3;1
3;5;1;1;1;3;1;1;10;1;Paul V.-T.;8;1
4;5;2;2;3;1;1;2;15;1;George P.;5;1
5;2;1;2;2;2;1;2;5;1;Mia J.;4;1
1;1;3;2;3;1;1;2;4;1;Andres X.;6;1
5;1;1;1;1;1;1;2;11;1;Jack J.;9;1
2;4;1;2;1;2;5;1;7;1;Fang C.-Z.;8;1
3;5;1;1;1;3;1;1;11;1;Vivaan Z.;8;1
4;2;1;2;2;1;2;4;1;1;Amelia T.;7;1
1;1;1;2;2;4;1;2;5;1;Pedro D.;8;1
2;1;1;1;1;3;1;4;14;1;Carlos J.;6;1
1;4;1;1;1;3;1;1;10;1;Li F.;8;1
3;2;1;2;2;2;2;3;1;1;Diya W.-T.;5;1
5;1;1;1;1;3;1;1;12;1;Bao G.;5;1
4;2;3;2;3;2;1;1;16;1;William J.;5;1
4;1;2;2;3;3;1;3;1;1;George K.;4;1
5;1;1;1;1;3;1;1;13;1;Sandra J.;7;1
3;5;1;1;1;1;2;2;9;1;Astrid K.;8;1
4;5;1;1;1;1;2;2;9;1;Cristina M.;8;1
3;2;1;2;1;2;2;1;6;1;Elsa H.;8;1
3;5;1;2;2;1;1;1;1;1;Marina P.;4;1
5;3;1;1;1;3;1;1;13;1;Lucia Y.-G.;7;1
1;2;1;2;2;2;2;1;2;3;Aïcha S.;4;1
4;4;1;2;3;3;3;1;3;3;Takumi F.-Z.;3;1
5;1;1;1;1;3;1;1;13;1;Elena M.;9;1
4;3;4;1;1;3;1;1;14;1;Alexander X.;6;1
5;1;1;1;1;3;1;1;13;1;Chloé I.;9;1
3;2;1;2;2;2;1;2;1;1;Takeshi T.;5;1
5;1;1;1;1;3;1;3;14;1;Amelia K.;7;1
2;3;1;1;1;3;1;4;14;1;Najet C.;7;1
2;4;1;1;1;3;1;4;14;1;Thomas Q.;6;1
4;1;1;2;3;2;2;2;3;1;Fatou G.;5;1
5;1;1;1;1;3;1;1;14;1;Lea S.;7;1
4;5;1;1;1;1;2;2;10;1;Noura O.;8;1
1;3;1;1;1;2;1;1;13;1;Federico U.;8;1
4;1;2;2;3;3;1;3;1;1;Emily Q.;4;1
2;3;1;1;1;3;2;4;14;1;Antonio D.;6;1
4;1;1;2;2;2;3;1;1;4;Mei F.;8;1
5;1;1;1;1;3;1;1;13;1;Hanane W.;7;1
4;2;3;2;3;1;4;2;15;1;Chen R.;5;1
4;1;1;2;3;1;2;3;2;1;Sora W.;5;1
5;1;1;1;1;3;1;1;11;1;Lei K.;9;1
2;4;1;1;1;3;1;4;14;1;Antonio H.;7;1
4;2;1;2;3;2;1;1;2;1;Jia N. Y.;5;1
5;1;1;1;1;1;1;1;11;1;Amina L.;9;1
2;2;1;2;2;2;2;1;6;1;Hina K.-S.;4;1
3;1;1;2;2;1;3;1;1;1;Maria H.;5;1
3;2;1;2;2;2;1;2;2;1;Luis R.;9;1
5;1;1;1;1;1;1;2;11;1;Lucia K.;9;1
4;1;3;2;3;2;4;2;6;2;Thomas X.;6;1
3;2;1;2;2;2;2;2;5;1;Giovanni T.;8;1
4;2;1;2;2;2;1;2;4;1;Naoko Z.;8;1
1;1;1;1;1;1;2;1;12;1;Abibatou C.;8;1
4;4;1;2;3;1;1;1;2;1;Leïla X.;8;1
1;4;1;1;1;3;1;1;10;1;Lina Z.;8;1
5;1;1;1;1;3;1;3;11;1;Manon X.;9;1
5;1;1;1;1;3;1;3;13;1;Valentina V.;7;1
5;1;1;1;1;1;1;2;13;1;Francisco O.;9;1
3;2;3;2;3;3;3;2;4;1;Khady D.;5;1
1;3;1;2;2;2;2;1;6;1;Fanta Q.;8;1
4;4;1;2;3;3;1;1;11;2;Lorenzo Y.;3;1
3;2;1;2;2;2;2;1;2;1;Yuki Y.;8;1
4;3;4;1;1;3;5;1;14;1;Fernando K.;6;1
5;2;1;2;2;3;1;2;5;1;Kei Q.;7;1
3;3;1;2;2;2;2;2;6;1;Paul A. L.;7;1
1;3;1;1;1;3;1;2;11;1;Marie T.-C.;8;1
1;2;1;2;1;2;2;1;6;1;Carlos F.;8;1
