AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
3;1;1;1;2;2;5;1;9;1;Ismaël L.;7;1
1;2;3;2;3;1;2;1;2;3;Jia N. Y.;5;1
2;3;1;2;3;3;2;1;5;1;Xiao R.-A.;4;1
5;1;1;1;1;3;1;2;13;1;Lucia Y.-G.;8;1
3;2;1;1;2;2;5;2;9;1;Aurélie G.;7;1
2;2;1;1;2;3;2;2;10;1;Sofiane T.;7;1
3;1;1;1;1;3;1;4;15;1;Lina E. R.;6;1
3;3;1;2;2;2;2;2;1;1;Paul A. L.;5;1
3;2;1;2;2;3;2;2;9;1;Hassan O.;7;1
5;5;1;2;1;1;1;2;13;1;Adam W. V.;7;1
4;4;1;1;2;2;5;2;12;1;Louis U.;7;1
5;1;1;1;1;3;1;2;13;1;Lucie Z.;8;1
4;2;1;2;2;3;1;1;2;1;Saga W.;4;1
3;3;1;2;2;2;2;2;1;1;Vivaan A.;5;1
3;1;1;1;1;3;1;4;14;1;Antonio H.;6;1
1;1;1;1;1;3;1;2;11;1;Rossana B.;7;1
2;2;1;2;2;3;2;2;1;1;Daiki W.;4;1
3;1;1;2;2;2;2;1;6;1;Luc S.;4;1
3;4;4;1;1;3;1;4;14;1;Amelia F. T.;6;1
3;1;1;1;1;1;1;4;14;1;Antonio D.;6;1
2;2;1;1;2;3;1;2;5;1;Gabriella F.;7;1
4;2;3;2;3;1;1;3;1;1;Ruby C.;7;1
1;2;1;1;1;1;2;2;11;1;Federico M.;7;1
5;1;1;1;1;3;1;2;13;1;Adama J.;8;1
1;2;1;1;2;1;1;2;10;1;Anna D.;7;1
5;5;1;1;2;1;1;2;12;1;Kenta Z.;8;1
4;1;1;2;2;2;2;3;6;1;Amelia T.;6;1
4;4;2;2;3;4;3;2;1;1;Clara G.;2;1
2;2;1;2;3;1;1;1;4;3;Hugo W.;5;1
4;2;1;2;2;2;1;1;8;1;Hugo E. A.;7;1
4;2;1;2;3;3;1;2;2;1;Clément O.;4;1
3;2;1;2;2;3;2;1;7;1;Elsa H.;7;1
2;1;1;1;1;2;2;1;10;1;Binta M.;7;1
1;3;1;1;2;3;2;2;10;1;Lucas T.;7;1
4;4;1;1;1;3;1;4;14;1;Fernando K.;6;1
2;2;1;2;3;3;2;2;1;1;Aisha F.;5;1
1;4;1;1;1;3;1;2;11;1;Jack J.;7;1
5;5;1;1;1;3;1;2;12;1;Elena M.;8;1
4;2;1;2;2;1;2;1;5;1;Björn B.;5;1
3;5;1;2;2;1;2;1;2;1;Nicola Y.;7;1
4;1;3;2;3;1;4;2;15;2;Claire H. D.;7;1
5;5;1;1;1;1;1;2;14;1;Francisco O.;8;1
1;4;1;2;3;4;1;2;3;1;Sofia X.;6;1
5;1;1;1;1;1;1;2;14;1;Salma F.;8;1
1;3;1;1;1;3;1;2;11;1;Aurélie A.;7;1
4;3;1;2;2;1;2;2;2;1;Luc N.;6;1
2;2;1;1;2;2;1;2;7;1;Yuki A.;7;1
4;1;1;2;3;1;1;3;3;2;George K.;4;1
2;3;1;1;2;3;2;3;11;1;Yuki L.;7;1
2;5;1;1;3;2;2;2;10;1;Paul E.;7;1
2;2;1;2;2;1;1;1;1;1;Corentin M.;5;1
4;4;1;2;3;4;3;2;7;3;Hana H.;3;1
2;2;3;2;3;2;3;2;16;1;Henry K. B.;4;1
4;1;3;2;3;2;3;2;2;1;Noura T.;5;1
4;4;1;1;1;1;2;2;11;1;Yacouba W.;7;1
4;4;1;1;2;1;1;1;10;1;Leïla O.;7;1
2;2;3;2;3;3;1;2;1;1;Rami L.;4;1
2;2;1;2;2;1;2;2;1;1;Kei E.;6;1
4;3;1;2;2;1;2;2;6;1;Julien Z.;7;1
2;5;1;1;1;3;1;2;14;1;Sekou L.;8;1
3;2;1;2;3;1;1;1;16;1;William J.;4;1
3;2;1;2;2;2;1;2;7;1;Ahmed T.;7;1
1;1;1;2;2;2;2;1;1;1;Abibatou N.;5;1
3;5;4;1;1;3;1;4;14;1;Takumi H.-M.;7;1
2;3;1;2;2;2;2;2;7;1;Daisuke E.;7;1
1;1;1;1;1;3;1;2;11;1;Diego Y. D.;7;1
3;2;1;2;2;2;2;3;6;1;Wei L.;7;1
2;2;1;2;2;3;2;1;1;1;Martin L.;5;1
2;3;1;2;2;3;2;1;5;1;Li D.;5;1
3;4;1;1;1;3;1;2;14;1;Sophie V.;6;1
4;2;3;2;3;2;3;2;8;4;Sora W.;2;1
5;1;1;1;1;3;1;2;14;1;Riko J.;8;1
1;2;1;2;2;1;1;1;2;1;Latifa H.;7;1
5;2;1;1;2;2;5;2;8;1;Luke U.;7;1
4;1;2;2;3;4;1;3;3;2;Moussa A.;4;1
3;1;1;2;3;2;2;3;6;1;Matteo C.;6;1
4;3;1;2;2;1;2;2;2;1;Luis R.;4;1
4;3;1;2;2;2;2;1;7;1;Cheikh T.;7;1
2;1;1;1;1;1;1;2;13;1;Ndiaye T.;5;1
3;2;1;1;2;2;1;4;9;1;Carlos Z.;7;1
4;1;2;2;3;4;4;3;2;1;Carmen B.;1;1
4;2;1;2;3;2;3;2;16;3;Nour Y.;4;1
4;3;1;2;3;1;2;2;2;1;Lars K.;6;1
3;1;1;2;2;2;2;1;2;1;Boubacar B.;7;1
1;2;3;2;3;1;2;2;9;1;Saga C. G.;2;1
2;1;1;1;1;3;1;4;15;1;Kenza Q.;6;1
4;1;1;2;2;2;2;1;2;1;Martin N.;7;1
1;2;1;1;2;1;1;2;10;1;Catherine A.;7;1
4;3;1;2;3;1;3;2;9;1;Yui F. B.;2;1
5;2;1;2;2;2;2;1;5;1;Kimi S.;5;1
3;1;1;1;1;3;1;2;11;1;Amina L.;7;1
3;4;4;1;1;3;1;4;14;1;Isla K.;8;1
1;1;1;1;3;3;2;2;9;1;Vivaan Z.;7;1
5;1;1;1;1;1;5;2;13;1;Giovanni L.;8;1
5;1;1;1;1;1;1;2;14;1;Alexander W.;8;1
5;3;1;1;1;1;1;2;13;1;Valentin P.;8;1
1;2;2;2;3;2;2;1;15;1;Karim Y.;4;1
3;2;1;2;2;3;2;2;9;1;Adrian D.;7;1
2;4;1;1;2;1;2;2;7;1;Luc V.-M.;7;1
4;3;1;2;3;2;3;2;15;1;Riko B.;6;1
4;2;3;2;3;2;1;1;2;1;Ndiaye P.;3;1
5;5;1;1;1;1;1;2;12;1;Youssef W.;8;1
1;3;1;1;1;3;1;2;11;1;Chloé C.;7;1
5;1;1;1;1;3;1;2;14;1;Luca D.-E.;8;1
4;1;2;2;3;2;1;3;1;2;Finn R.;4;1
2;2;1;2;3;2;1;1;5;1;Marina P.;5;1
1;4;2;2;3;2;3;2;1;1;Saga E.-M.;3;1
3;2;1;2;3;3;1;3;4;3;Charlotte T.;5;1
2;2;1;2;2;3;1;1;1;1;Kei Q.;5;1
2;2;3;2;3;2;3;2;16;1;Moussa U.;4;1
5;2;1;1;1;3;1;2;11;1;Julien P.;7;1
3;4;4;1;1;3;1;2;14;4;Pablo W.;8;1
2;2;1;2;3;3;2;2;1;1;Sofia F.-V.;5;1
5;1;1;1;1;3;2;2;10;1;Isabel X.;7;1
4;4;1;2;3;1;1;1;2;2;Leïla X.;7;1
3;4;1;1;1;3;2;2;13;1;Amelia H.-M.;7;1
1;1;1;1;2;1;1;3;6;1;Marina K.;7;1
4;3;1;2;3;4;1;1;6;3;Takumi F.-Z.;4;1
3;1;4;2;3;2;3;2;4;1;Rosa B.;3;1
1;4;2;2;3;1;3;2;4;3;Chloé P.;4;1
5;1;1;1;1;1;1;2;14;1;Lea S.;8;1
3;1;1;1;1;2;2;2;8;1;Henry O.;7;1
2;3;1;2;2;2;2;2;7;1;Jabari B.;7;1
4;3;3;2;3;1;4;1;1;3;Seynabou T.;7;1
3;1;1;1;1;1;1;2;13;1;Vincent S.;5;1
