AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
4;3;1;2;3;3;3;1;15;1;Rémi C.;7;1
1;1;1;1;1;3;1;1;16;1;Manon X.;5;1
3;3;1;2;2;3;2;1;1;1;Nicola Y.;8;1
1;1;1;1;1;1;1;2;13;1;James J. J.;4;1
5;5;1;1;1;3;1;1;11;1;Julien P.;9;1
3;2;1;2;3;1;1;1;2;1;Dalila J.;6;1
5;1;1;1;1;1;1;2;11;1;Amelia H.-M.;9;1
5;1;1;1;1;1;1;2;12;1;Federico M.;9;1
2;4;1;1;1;1;1;1;16;1;Hanane W.;6;1
3;2;1;2;3;1;1;2;1;1;Fatima V.;8;1
4;5;1;2;3;2;3;3;16;1;Nour Y.;8;1
2;1;1;2;2;1;2;3;1;1;Omar C. N.;8;1
3;2;1;2;3;2;4;4;2;1;Laura Y.;5;1
1;2;1;2;3;2;2;2;1;1;Abibatou N.;8;1
1;1;1;1;1;3;1;1;14;1;Inès Y.;5;1
1;2;1;2;3;1;1;2;1;1;Saga W.;8;1
4;1;2;2;3;2;1;2;2;3;Ethan X.;3;1
1;2;1;2;2;2;1;4;10;1;Giovanni T.;8;1
2;3;1;1;1;3;1;1;15;1;Vincent S.;6;1
5;5;1;1;1;1;1;2;12;1;Imen F.;9;1
4;1;2;2;3;2;2;3;7;1;Amelia L.-A.;4;1
2;3;1;1;1;3;1;1;14;1;Takumi H.-M.;7;1
4;1;3;2;3;2;1;2;2;2;Khady S.;8;1
1;2;1;2;3;2;2;2;6;1;Kimi S.;8;1
5;5;1;1;2;3;1;2;9;1;Lucas T.;9;1
1;1;1;1;1;1;1;1;13;1;Elena M.;5;1
5;5;1;1;2;1;1;1;10;1;Yuki A.;9;1
1;1;1;2;2;2;2;4;3;1;Ali F.;8;1
1;2;1;1;2;3;2;1;8;1;Luke U.;9;1
2;4;1;1;1;1;1;1;15;1;Franco L.;7;1
1;4;2;2;3;2;1;2;1;1;Chloé P.;3;1
5;5;1;1;1;1;1;1;12;1;Raffaele Z.;9;1
5;5;1;1;1;1;1;3;11;1;Bilal F.;9;1
2;3;1;1;1;3;1;1;14;1;James C. K.;6;1
4;1;3;2;3;2;4;3;7;3;Luigi U.;6;1
2;2;1;2;3;1;1;1;2;1;Takumi A.;6;1
1;1;1;1;1;1;1;2;11;1;Adam W. V.;5;1
1;1;1;1;1;1;1;1;13;1;Salma F.;7;1
1;2;1;1;2;1;2;2;8;1;Aurélie G.;9;1
2;1;1;1;1;3;1;1;13;1;Valentina V.;6;1
1;1;1;2;3;2;2;1;1;1;Ndiaye P.;4;1
2;3;1;1;1;3;1;1;14;1;Fanta X.;9;1
5;5;1;1;2;3;1;2;9;1;Anna D.;9;1
1;2;1;2;2;2;2;2;5;1;Alba Q.;8;1
5;5;1;1;1;1;1;2;10;1;Noura O.;9;1
4;2;1;2;3;1;1;1;2;1;Björn B.;8;1
5;1;1;1;1;4;1;2;11;1;Lucia K.;9;1
4;4;2;2;3;1;1;1;5;1;Lorenzo Y.;6;1
5;2;1;1;2;1;1;2;9;1;Federico U.;9;1
3;2;1;2;3;2;2;1;1;1;Aïcha S.;8;1
4;1;3;2;3;3;2;2;15;2;Claire H. D.;8;1
1;2;1;2;3;2;3;1;1;1;Freya F.;4;1
1;3;1;2;3;2;1;2;1;1;Fatima R.;5;1
5;5;1;1;2;2;1;4;9;1;James Q.;9;1
2;5;1;1;1;3;1;1;14;1;Ismaël S.;6;1
1;1;1;1;1;3;1;1;14;1;Lea S.;6;1
1;1;1;1;1;3;1;1;13;1;Chloé I.;5;1
3;2;1;2;3;2;2;2;2;1;Hugo W.;5;1
2;1;1;1;2;2;2;2;5;1;Louis U.;9;1
5;5;1;1;2;2;1;1;9;1;Leïla O.;9;1
1;1;1;1;1;3;1;3;11;1;Jia V. R.;5;1
2;4;1;1;1;1;1;1;13;1;Ndiaye T.;7;1
3;2;1;2;3;2;3;4;2;1;Andres X.;4;1
4;2;1;2;3;1;3;4;1;1;Kei E.;8;1
3;4;1;2;2;4;2;1;7;1;Daisuke E.;9;1
5;2;1;1;2;3;1;2;8;1;Gabriella F.;9;1
4;1;1;2;3;2;1;3;4;3;Moussa A.;2;1
1;1;1;1;1;1;1;1;13;1;Charlotte S.-C.;7;1
3;2;1;2;2;1;2;2;7;1;Cheikh T.;9;1
1;1;1;1;1;4;1;2;11;1;Aisha T. N.;5;1
2;2;1;2;3;2;2;2;2;1;Sofia F.-V.;8;1
4;2;1;2;3;2;3;2;2;1;Hana V.;8;1
5;5;1;1;1;3;1;2;12;1;Mia M.;9;1
4;4;1;2;3;3;2;2;1;1;Lars K.;8;1
5;5;1;1;1;3;1;4;11;1;Jack J.;9;1
4;2;1;2;3;2;2;2;3;1;William J.;3;1
4;2;1;2;3;2;4;1;2;1;Noura T.;4;1
1;2;1;2;3;3;1;1;5;1;Saga C. G.;5;1
3;2;1;2;3;3;4;2;2;1;Khady D.;4;1
3;4;1;1;2;4;2;1;8;1;Fang C.-Z.;9;1
3;2;1;2;3;1;1;2;2;1;Léa V.;4;1
1;2;1;2;3;1;1;1;15;4;Karim Y.;5;1
3;4;1;2;2;3;1;1;6;1;Carlos F.;8;1
2;4;1;1;1;3;1;1;14;1;Ali S.-L.;7;1
1;2;4;2;3;1;1;2;16;1;Thabo C.;7;1
2;1;1;1;1;1;1;2;14;1;Ali Q.;6;1
2;1;1;2;1;3;1;1;13;1;Ismaël Z.;5;1
5;5;1;1;1;3;1;1;12;1;Lina Z.;9;1
3;1;1;1;2;2;2;3;9;1;Carlos Z.;9;1
4;1;2;2;3;2;1;2;2;1;Carmen B.;3;1
2;3;1;1;1;3;1;1;14;1;Antonio D.;6;1
2;1;1;1;1;3;1;1;13;1;Harry Z.;4;1
5;5;1;1;1;1;1;3;11;1;Binta M.;9;1
3;4;1;2;2;3;1;1;6;1;Lorenzo M.;8;1
5;5;1;1;2;1;1;4;9;1;Li E.;9;1
3;4;1;2;3;3;2;2;3;1;Paul A. L.;8;1
5;1;1;1;2;2;1;1;10;1;Sakura P. R.;9;1
4;1;1;2;3;1;2;2;1;1;Mei F.;8;1
4;1;3;2;3;1;2;3;7;1;Fatou G.;4;1
1;2;1;2;2;2;1;4;7;1;Wei L.;8;1
4;2;1;2;3;1;3;2;15;1;Chen R.;5;1
4;2;1;2;2;1;2;2;9;1;Corentin M.;8;1
3;2;1;2;3;1;4;2;2;1;Rami L.;7;1
1;3;1;1;2;3;2;2;9;1;Aïcha H.;9;1
2;3;1;1;1;3;1;1;14;1;Isla K.;6;1
4;1;2;2;3;2;1;2;2;1;Emily Q.;3;1
2;2;1;1;2;1;2;2;6;1;Lucie D.;9;1
4;1;1;2;3;2;1;2;2;1;Kaori R.;2;1
3;2;1;2;3;2;2;1;1;1;Xiao R.-A.;8;1
5;2;1;2;3;4;1;2;10;1;Hina K.-S.;8;1
2;3;1;1;1;3;1;1;14;1;Patricia W.;6;1
2;3;1;1;1;3;1;1;14;1;Aoi R. Y.;6;1
4;2;1;2;3;2;5;2;2;1;Takeshi T.;5;1
5;5;1;1;1;1;1;2;11;1;Emma S.;9;1
4;4;1;2;3;2;2;2;2;3;Leïla X.;8;1
3;2;1;2;2;1;2;2;6;1;Hugo E. A.;8;1
3;2;1;2;3;1;4;1;2;1;Rosa B.;5;1
1;2;1;2;3;1;1;2;3;1;Kei Q.;8;1
1;2;1;2;2;2;1;4;7;1;Daniela G.;9;1
1;4;3;2;3;2;1;2;16;1;Saga E.-M.;5;1
4;3;1;1;1;3;1;1;14;1;Alexander X.;7;1
3;2;1;2;3;3;1;1;8;1;Amina Z. G.;8;1
4;3;3;2;3;2;1;1;16;1;Charlie M.;5;1
5;5;1;1;1;1;1;1;12;1;Chloé C.;9;1
1;1;1;1;1;3;1;1;13;1;Riko J.;6;1
5;5;1;1;2;1;1;1;10;1;Catherine A.;9;1
2;1;1;1;2;3;2;1;8;1;Alessandro W. Y.;9;1
4;1;2;2;3;1;1;3;16;1;Matteo F.;4;1
5;2;1;1;2;2;1;1;10;1;Yuki L.;9;1
4;1;3;2;3;3;1;3;4;3;Finn R.;4;1
2;4;1;1;1;3;1;1;15;1;Sandra J.;6;1
3;5;3;2;3;2;2;1;1;1;Li B. J.;3;1
2;3;1;1;1;3;1;1;14;1;Amelia F. T.;7;1
3;2;1;2;3;1;1;2;1;1;Mia J.;8;1
1;2;1;2;2;1;2;2;5;1;Latifa H.;8;1
5;5;1;1;1;1;1;2;10;1;Henry O.;9;1
2;3;1;1;1;3;1;1;13;1;Ignacio E.;6;1
1;1;1;2;3;2;1;1;1;1;Jia N. Y.;5;1
2;3;1;1;1;3;1;1;14;1;Antonio H.;6;1
4;3;1;2;3;1;1;1;4;1;Yui F. B.;5;1
5;5;1;1;1;1;1;1;10;1;Vivaan Z.;9;1
3;2;1;2;2;1;2;2;6;1;Ahmed T.;8;1
5;5;1;1;1;1;1;1;11;1;Yacouba W.;9;1
3;2;1;2;3;2;2;4;2;1;Issa I.;8;1
3;2;1;2;3;1;1;2;2;1;Jack W.;4;1
4;2;1;2;3;2;1;1;8;1;Luc S.;8;1
5;5;1;1;1;1;1;2;12;1;Isabel X.;9;1
3;3;1;2;2;3;2;2;6;1;Emma P.;8;1
1;4;1;2;3;1;2;4;1;2;Wei T.-S.;8;1
5;5;1;1;1;1;1;1;11;1;Rossana B.;9;1
2;1;1;1;1;3;1;1;13;1;John H.;5;1
4;1;2;2;3;2;1;3;4;4;Chloé D.;2;1
4;3;1;2;3;3;1;1;16;1;Bilal A.;5;1
4;4;4;2;3;1;1;2;5;1;Clara G.;6;1
3;2;1;2;3;1;1;2;1;1;Clément O.;8;1
5;5;1;1;1;1;1;1;11;1;Marie T.-C.;9;1
4;2;1;2;3;2;3;4;2;1;Federico Q.;4;1
4;1;3;2;3;2;1;3;4;2;Thomas X.;3;1
4;2;1;2;3;2;1;2;16;1;Moussa U.;5;1
2;3;4;1;1;3;1;4;14;4;Pablo W.;9;1
1;3;1;1;1;3;1;1;14;1;Benoît F.;6;1
1;1;1;1;1;1;1;2;14;1;Giovanni L.;6;1
1;2;1;2;2;3;2;1;8;1;Adrian D.;9;1
2;1;1;1;1;3;1;3;13;1;Emma H.;6;1
1;1;1;2;1;3;1;1;15;1;Xiao D.;7;1
3;4;1;2;2;3;1;1;6;1;Fanta Q.;8;1
4;4;1;2;3;2;1;4;4;1;Aziz S.;2;1
3;2;1;2;3;3;3;2;1;1;Henry K. B.;3;1
3;1;1;2;3;3;3;4;2;1;Matteo C.;8;1
1;2;1;2;3;4;2;2;2;1;Laura B.;8;1
1;1;1;1;1;3;1;1;13;1;Adama J.;7;1
5;5;1;1;2;3;1;4;10;1;Paul E.;9;1
5;1;1;1;1;3;1;3;11;1;Amina L.;9;1
5;5;1;1;2;4;1;3;11;1;Astrid K.;9;1
1;2;1;2;3;2;2;1;1;1;Marina P.;4;1
3;2;1;2;2;1;2;2;6;1;Simone I.;8;1
4;2;1;2;3;1;3;4;1;1;Daiki W.;8;1
4;1;3;2;3;2;1;2;2;1;George K.;7;1
1;1;1;2;1;1;1;1;14;1;Riko X.;5;1
1;1;1;1;1;1;1;1;13;1;Noura A.;5;1
3;3;1;1;2;1;1;3;9;1;Marina K.;9;1
3;2;1;2;2;3;2;2;6;1;Pedro D.;8;1
1;2;1;2;2;2;1;2;6;1;Hassan O.;8;1
1;2;1;2;2;2;1;4;7;1;Martin N.;8;1
5;5;1;1;2;1;1;1;9;1;Thomas T.;9;1
4;3;4;2;3;2;1;2;15;1;Riko B.;4;1
1;4;1;2;3;2;1;3;2;1;Thabo B.;2;1
5;5;1;1;2;3;1;1;10;1;Emma M.;9;1
4;4;1;2;3;3;2;2;1;1;Naoko Z.;8;1
1;1;1;1;1;3;1;1;13;1;Kenta Z.;5;1
2;3;1;1;1;3;1;1;14;1;Sofia K.;6;1
3;3;1;2;2;3;2;2;6;1;Ndiaye H.;8;1
3;3;1;2;2;3;2;2;6;1;Hugo K.;8;1
4;4;2;2;3;1;1;2;5;2;Hana H.;6;1
4;2;1;2;3;3;3;2;1;1;Luis R.;8;1
5;3;1;1;1;3;1;1;14;1;Rachid S.;7;1
1;1;1;1;1;3;1;1;13;1;Lucia Y.-G.;7;1
5;5;1;1;1;1;1;2;12;1;Aurélie A.;9;1
