AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
2;1;1;1;1;3;1;2;14;1;Hicham W.;6;1
4;2;1;2;3;1;1;4;2;1;Federico Q.;2;1
4;2;1;2;2;1;1;1;5;1;Martin L.;4;1
3;5;1;1;1;1;2;2;11;1;Henry O.;8;1
3;2;1;2;3;1;1;2;2;1;Sofia F.-V.;8;1
4;1;2;2;3;2;3;2;7;1;Luigi U.;2;1
4;2;3;2;3;2;4;1;1;3;Moussa R.;2;1
1;4;1;1;1;3;1;2;14;1;Andrea C.;5;1
1;4;4;2;3;2;4;2;7;1;Laura M.;4;1
2;5;1;2;2;2;2;1;5;1;Adama C.;8;1
3;1;1;2;2;1;2;1;8;1;Daisuke E.;8;1
3;2;1;2;2;2;3;2;6;1;Latifa H.;8;1
2;3;1;1;1;3;1;2;15;1;Benoît F.;6;1
2;1;1;1;1;3;1;2;14;1;Franco L.;6;1
1;1;1;1;2;1;5;2;7;1;Aurélie G.;8;1
5;1;1;1;1;3;1;2;14;1;George N.-M.;5;1
3;1;1;1;2;3;2;1;6;1;Federico U.;8;1
3;2;1;2;3;1;2;1;2;1;Charlotte T.;5;1
3;1;1;1;1;3;1;2;11;1;Amina L.;9;1
3;1;1;2;3;2;1;2;15;1;Lars K.;9;1
5;2;1;2;2;2;2;2;7;1;Elsa H.;8;1
5;1;1;1;1;3;1;1;11;1;Elena M.;9;1
2;3;4;1;1;3;1;4;15;1;Aurora N.-P.;9;1
3;2;1;2;2;2;2;1;6;1;Kimi Z.;8;1
1;5;1;2;2;3;3;1;3;1;Nicola Y.;8;1
3;2;1;2;2;2;2;2;3;1;Hugo E. A.;8;1
2;2;3;2;3;3;1;2;1;1;Khady D.;3;1
2;1;1;1;1;3;1;2;14;1;Sandra J.;5;1
3;2;1;2;2;2;1;1;5;1;Alba Q.;8;1
4;3;1;1;2;1;2;2;9;1;Luc D.;8;1
4;1;3;2;3;2;4;2;2;2;Tamsir K.;8;1
5;1;1;1;1;3;1;1;14;1;John H.;9;1
3;2;1;2;3;2;2;1;2;1;Elisa R.;5;1
3;2;1;2;2;2;1;2;2;1;Paul A. L.;8;1
2;1;1;1;1;3;1;2;14;1;Antonio H.;6;1
1;1;1;1;1;3;1;1;12;1;Emma S.;9;1
3;2;1;2;2;1;2;3;5;1;Wei A.;8;1
4;2;1;2;2;3;1;2;6;1;Julien Z.;8;1
1;3;1;2;2;2;2;1;3;1;Lorenzo M.;8;1
2;2;1;2;2;4;1;4;16;1;Kei E.;6;1
4;4;1;1;2;1;2;1;8;1;Louis U.;8;1
3;3;1;2;2;2;2;1;2;1;Hina K.-S.;6;1
4;2;1;2;3;4;3;2;1;1;Fatima R.;4;1
2;1;1;1;2;3;5;2;8;1;Alessandro W. Y.;8;1
3;5;1;1;2;1;1;1;14;1;Li E.;8;1
1;3;1;1;1;3;1;1;10;1;Jack J.;9;1
4;2;1;2;2;2;2;1;4;3;Luc S.;5;1
5;3;1;1;1;3;1;1;12;1;Guillaume P.;9;1
5;1;1;1;1;3;1;2;13;1;Lucia Y.-G.;5;1
4;2;3;2;3;2;1;4;1;1;Andres X.;4;1
1;5;1;1;1;1;1;1;10;1;Raffaele Z.;8;1
3;4;1;1;1;3;2;1;10;1;Redouane X.;8;1
1;2;1;2;2;1;1;2;1;1;Saga W.;4;1
5;3;1;1;2;1;5;2;6;1;Matteo H.;8;1
4;2;1;2;2;2;2;1;2;1;Brahim C.;5;1
2;3;1;1;1;3;1;2;14;1;Sofia K.;6;1
4;2;3;2;2;1;1;1;5;3;Laura B.;4;1
1;2;1;1;2;1;5;1;8;1;Luke U.;8;1
2;5;1;1;1;3;1;2;15;1;Alexander X.;6;1
4;3;3;2;3;2;3;2;1;1;Ananya J. K.;4;1
4;3;2;2;3;2;3;1;4;3;Yui F. B.;3;1
3;5;1;1;2;1;1;1;9;1;James Q.;8;1
4;2;1;2;3;2;2;1;15;1;Aisha F.;4;1
3;3;1;1;1;3;1;2;11;1;Lucia K.;9;1
3;2;1;2;2;1;2;2;1;1;Issa I.;5;1
4;3;1;2;2;2;2;2;16;1;Luc N.;6;1
3;5;1;1;2;1;2;2;10;1;Vivaan Z.;8;1
5;5;1;1;2;1;2;4;8;1;Pedro G.;8;1
1;4;1;1;2;3;2;4;8;1;Paul H.;8;1
2;3;4;1;1;3;1;4;14;1;Isla K.;9;1
5;4;1;1;1;3;1;2;13;1;Aisha T. N.;9;1
1;4;1;1;2;1;2;1;10;1;Karl J. B.;8;1
2;4;1;1;1;3;2;1;11;1;Chloé C.;8;1
4;1;1;2;2;1;1;2;5;1;Luis K.;8;1
2;1;1;1;1;3;1;2;14;1;Rachid S.;6;1
4;2;1;2;2;1;1;2;9;1;Lea T.;8;1
1;5;1;1;2;1;1;1;11;1;Astrid K.;8;1
3;5;1;1;1;1;2;3;11;1;Isabel X.;8;1
3;1;1;1;1;3;1;1;12;1;Amelia H.-M.;9;1
4;1;2;2;3;2;3;3;7;1;Amelia L.-A.;1;1
2;2;4;2;3;3;2;1;1;1;Henry K. B.;6;1
4;4;2;2;3;2;3;2;5;3;Takumi F.-Z.;3;1
1;4;3;2;3;2;1;2;1;2;Wei T.-S.;8;1
3;4;1;1;1;1;2;1;10;1;Li F.;8;1
5;2;1;2;2;2;2;1;5;1;Camille R.;8;1
1;2;1;1;2;1;2;3;9;1;Gabriella F.;8;1
2;2;1;2;2;1;1;2;8;1;Ahmed T.;8;1
1;4;1;1;2;3;2;1;9;1;Luca V.;8;1
4;5;1;2;3;2;1;2;1;1;George P.;4;1
3;2;1;2;2;2;1;2;5;1;Corentin M.;8;1
4;2;1;2;2;2;2;4;6;1;Martin N.;8;1
2;2;1;2;2;2;1;2;6;1;Hugo Y.;8;1
2;3;1;1;1;3;1;2;14;1;Najet C.;6;1
1;2;1;2;3;1;1;1;1;3;Karim Y.;6;1
5;4;1;2;3;3;1;2;13;1;Juan S.;9;1
1;2;1;2;3;1;1;2;1;1;Li B. J.;4;1
4;1;2;2;3;2;3;2;7;1;Sora W.;2;1
4;3;1;2;3;1;4;1;1;4;Riko B.;3;1
2;3;1;1;1;3;1;2;13;1;Hanane W.;5;1
2;2;1;2;3;1;1;2;1;1;Léa V.;3;1
4;4;2;2;3;2;3;2;5;3;Caterina Q.;3;1
2;1;4;1;1;3;1;4;14;1;Takumi H.-M.;9;1
4;4;2;2;3;2;3;2;5;3;Clara G.;3;1
2;5;1;1;1;3;2;1;12;1;Latifa N.;8;1
5;3;1;1;1;3;1;2;13;1;Giovanni L.;5;1
2;4;1;2;3;2;3;1;1;1;Ndiaye P.;3;1
3;1;1;1;2;1;2;1;8;1;Yuki L.;8;1
4;1;3;2;3;1;4;1;3;1;Matteo F.;8;1
3;5;1;1;1;3;2;1;10;1;Binta M.;8;1
4;1;3;2;3;2;1;3;4;1;Moussa A.;5;1
2;5;1;1;1;3;2;1;10;1;Rami T.;8;1
2;1;4;1;1;3;1;2;14;4;Pablo W.;8;1
3;2;1;2;2;1;2;3;7;1;Adrian D.;8;1
2;4;1;1;1;3;1;2;13;1;Ben B.;5;1
1;5;1;1;2;1;2;2;9;1;Thomas T.;8;1
1;2;1;1;2;1;2;1;9;1;Sakura P. R.;8;1
1;5;1;1;1;3;1;3;12;1;Jessica U.;8;1
5;4;1;1;1;3;1;2;13;1;Ismaël S.;5;1
4;4;1;2;3;1;1;1;2;2;Leïla X.;8;1
1;2;1;2;3;1;1;2;1;1;Fatima V.;4;1
5;1;1;1;1;3;1;2;14;1;Charlotte S.-C.;5;1
3;2;1;2;3;2;1;2;2;1;Bilal A.;5;1
2;5;1;1;1;1;2;2;11;1;Aurélie A.;8;1
4;4;1;2;3;4;3;2;5;4;Hana H.;3;1
4;1;2;2;3;2;3;2;7;1;Fatou G.;2;1
1;1;1;2;2;2;2;1;6;1;Fanta Q.;8;1
1;3;1;2;3;2;1;2;1;1;Mei F.;5;1
1;5;1;1;2;1;2;4;10;1;Sofiane T.;8;1
2;1;1;1;1;3;1;2;14;1;Eva K.;6;1
3;5;1;1;2;3;2;2;10;1;Anna D.;8;1
3;5;1;1;1;3;2;1;12;1;Yacouba W.;8;1
2;3;1;1;1;3;1;2;14;1;James C. K.;6;1
5;3;1;1;1;3;1;2;13;1;Salma F.;5;1
4;2;1;2;2;1;2;3;7;1;Wei L.;8;1
5;3;1;1;1;3;1;2;13;1;Wei W.;4;1
3;3;1;2;2;1;2;2;7;1;Ndiaye H.;8;1
1;5;1;1;2;1;2;2;6;1;Leïla O.;8;1
3;5;1;1;1;3;1;1;11;1;Abibatou C.;8;1
3;2;1;2;3;1;2;1;2;1;Jesus N.;5;1
2;3;4;1;1;3;1;4;14;1;Amelia F. T.;6;1
3;1;1;2;2;2;4;3;16;1;Amina Z. G.;6;1
1;3;1;2;3;2;3;2;1;1;Ai F.;4;1
3;2;1;2;2;2;1;2;6;1;Nathan V. R.;8;1
1;2;1;2;2;1;2;2;16;3;Naoko Z.;5;1
3;5;1;1;2;1;2;2;10;1;Cristina M.;8;1
4;2;1;2;2;1;2;4;7;1;Hassan O.;8;1
2;5;1;1;2;1;2;3;9;1;Lucas T.;8;1
5;3;1;1;1;3;1;2;13;1;Riko X.;4;1
1;2;1;2;3;4;2;1;2;1;William G.;5;1
3;5;1;1;2;3;2;2;9;1;Luc V.-M.;8;1
5;2;1;2;3;2;2;1;1;1;Amina W.;5;1
2;3;1;1;1;3;1;2;13;1;Amelia K.;5;1
2;3;4;1;1;3;1;4;14;1;Fanta X.;6;1
4;1;3;2;3;2;1;3;4;1;Seynabou T.;5;1
2;2;1;2;3;1;1;2;1;1;Jack W.;3;1
2;1;1;1;1;3;1;3;11;1;Lei K.;9;1
1;1;1;1;1;3;1;2;13;1;Lea S.;5;1
1;2;1;1;2;1;5;2;8;1;Lucie D.;8;1
4;2;1;2;2;2;2;1;6;1;Omar C. N.;8;1
1;4;4;2;3;2;5;2;6;1;Chloé P.;3;1
2;2;3;2;2;1;1;2;16;1;John A.;9;1
1;2;3;2;3;4;1;2;1;1;Charlie M.;4;1
2;1;1;1;1;3;1;2;13;1;Ndiaye T.;5;1
2;3;1;1;1;3;1;2;14;1;Aoi R. Y.;6;1
5;1;1;1;1;3;1;2;13;1;Adama J.;5;1
5;1;1;1;1;3;1;1;12;1;Noura A.;9;1
2;3;1;1;2;1;1;2;9;1;Yuna H.;8;1
3;2;1;2;2;3;3;4;6;1;Giovanni T.;8;1
5;1;1;2;1;3;1;1;12;1;Jia V. R.;9;1
3;3;3;2;3;1;3;2;1;1;Mia P.;2;1
5;1;1;1;1;3;1;2;13;1;Ismaël Z.;4;1
5;1;1;1;1;3;1;2;12;1;Xiao D.;5;1
2;1;1;1;1;3;1;2;13;1;Ignacio E.;5;1
4;4;1;1;1;3;1;2;11;1;Federico M.;9;1
3;5;1;1;1;1;2;2;10;1;Adrien N.;8;1
1;4;3;2;3;2;1;2;5;2;Sofia X.;8;1
4;4;1;2;3;1;1;1;7;2;Lorenzo Y.;8;1
3;1;1;2;2;2;2;2;1;1;Vivaan A.;6;1
1;4;1;1;1;3;1;3;11;1;Diego Y. D.;9;1
2;1;1;1;1;3;1;2;13;1;Vincent S.;5;1
2;2;1;2;3;2;2;2;15;1;Clément O.;5;1
4;1;1;2;3;2;1;4;15;1;Diya W.-T.;4;1
2;3;1;1;1;3;1;2;14;1;Sofia P.;6;1
5;3;1;1;1;3;1;2;13;1;James J. J.;6;1
2;2;1;2;2;1;2;3;16;4;Daiki W.;4;1
3;4;1;1;1;1;2;1;10;1;Lina Z.;8;1
5;1;1;2;3;3;1;2;12;1;Adam W. V.;9;1
3;2;1;2;3;1;2;1;2;1;Dalila J.;5;1
3;3;3;2;3;1;3;2;2;1;Hana V.;4;1
2;2;1;2;2;2;2;2;11;1;Harry O.;8;1
3;5;1;1;2;3;2;2;8;1;Catherine A.;8;1
2;1;1;1;1;3;1;2;14;1;Patricia W.;6;1
4;3;3;2;3;4;4;1;2;3;Rémi C.;4;1
1;2;1;1;2;1;2;4;9;1;Aïcha H.;8;1
4;2;1;2;2;2;2;1;3;1;Kimi S.;6;1
5;4;1;1;2;1;5;1;8;1;Fang C.-Z.;8;1
