AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
3;3;1;1;1;3;1;1;12;1;Noura A.;9;1
3;4;1;2;2;2;3;2;3;1;Paul A. L.;8;1
3;2;1;2;2;2;2;1;5;1;Alba Q.;8;1
3;3;1;1;1;1;1;1;13;1;Charlotte S.-C.;4;1
1;5;1;1;1;3;1;2;11;1;Henry O.;8;1
5;3;1;1;1;1;1;1;12;1;Kenta Z.;9;1
5;1;1;1;1;1;1;2;11;1;Diego Y. D.;9;1
1;3;1;2;2;2;2;2;8;1;Pedro D.;8;1
3;3;1;1;1;1;1;2;13;1;Jia V. R.;9;1
2;2;1;2;2;2;1;1;6;3;Hannah U.;8;1
4;2;1;2;1;3;2;2;6;1;Julien Z.;8;1
2;5;1;1;1;1;1;2;10;1;Redouane X.;9;1
4;2;1;2;3;3;2;3;1;1;Dalila J.;4;1
2;5;1;1;1;1;1;2;10;1;Rami T.;8;1
2;2;1;2;3;3;1;2;2;1;Hugo W.;5;1
4;1;1;2;2;1;2;2;5;1;Luis K.;8;1
4;3;1;2;2;4;3;2;1;1;Luis R.;6;1
4;4;3;2;3;4;1;1;5;1;Caterina Q.;6;1
1;1;1;1;1;1;1;2;12;1;Abibatou C.;9;1
2;2;1;2;2;1;3;2;1;1;Martin L.;4;1
1;4;3;2;3;2;1;2;16;1;Saga E.-M.;5;1
4;1;2;2;3;2;1;2;2;1;Carmen B.;3;1
3;3;1;2;2;2;2;1;1;1;Elisa R.;5;1
3;2;1;2;2;1;3;1;2;1;Diya W.-T.;7;1
1;3;1;1;1;1;1;4;14;1;Sekou L.;6;1
2;3;1;1;1;1;1;1;13;1;Inès Y.;9;1
1;5;1;1;1;1;1;2;10;1;Rossana B.;9;1
1;5;1;1;1;2;1;2;9;1;Emma M.;8;1
3;3;3;2;3;2;2;2;1;1;Li B. J.;5;1
3;1;1;2;3;3;1;4;2;1;Federico Q.;5;1
1;3;1;2;2;2;2;1;6;1;Lorenzo M.;8;1
5;1;1;1;1;1;1;1;11;1;Amina L.;9;1
2;2;1;2;2;3;1;2;2;1;Jack W.;5;1
1;5;1;1;1;3;1;2;10;1;Lina Z.;8;1
3;5;1;1;1;2;1;2;11;1;Raffaele Z.;8;1
5;3;1;2;1;3;1;1;13;1;Lucia Y.-G.;5;1
5;3;1;1;1;3;1;1;14;1;Ignacio E.;6;1
1;5;1;1;1;2;1;1;9;1;Lucas T.;8;1
1;4;1;1;1;2;1;1;9;1;Yuki A.;8;1
5;3;1;1;1;3;1;1;14;1;Aoi R. Y.;6;1
4;4;1;2;3;1;1;1;5;1;Takumi F.-Z.;2;1
3;3;1;1;1;3;1;1;12;1;Francisco O.;9;1
5;3;1;1;1;3;1;1;14;1;Hanane W.;6;1
4;1;3;2;3;2;1;2;2;2;Khady S.;8;1
2;4;1;1;1;3;1;4;14;1;Alexander X.;6;1
3;1;1;1;1;3;1;1;11;1;Lei K.;9;1
2;2;1;2;2;1;3;2;1;1;Kei E.;6;1
1;4;1;2;3;2;1;2;3;1;Saga C. G.;3;1
2;4;1;2;2;1;2;1;1;1;Li D.;3;1
1;3;1;1;1;1;1;1;13;1;Alexander W.;5;1
4;2;1;2;3;3;2;3;1;1;Charlotte T.;4;1
4;2;1;2;3;3;1;1;1;1;Takumi A.;7;1
2;2;1;2;1;2;2;4;6;1;Lea T.;8;1
3;2;1;2;3;3;5;1;1;1;Jia N. Y.;7;1
1;1;1;1;1;3;1;2;12;1;Bilal F.;9;1
4;5;1;1;1;4;2;1;9;1;Federico U.;8;1
3;1;1;2;2;4;1;4;6;1;Giovanni T.;8;1
1;4;1;1;1;3;1;1;14;1;Wei W.;9;1
4;1;1;2;3;2;1;3;4;4;Seynabou T.;2;1
3;2;1;2;2;2;2;2;2;1;Mei F.;7;1
3;3;1;1;1;3;1;1;13;1;Luca D.-E.;6;1
3;1;1;1;1;3;1;2;11;1;Julien P.;9;1
1;3;1;1;1;1;1;1;14;1;John H.;9;1
2;4;1;1;1;1;2;2;6;1;Aurélie G.;8;1
5;3;1;1;1;3;1;1;13;1;Andrea C.;5;1
2;2;1;2;3;3;2;2;2;1;Néné K.;5;1
1;1;1;1;1;1;1;2;11;1;Marie T.-C.;9;1
4;1;4;2;3;1;1;3;16;1;Sora W.;2;1
1;4;1;2;3;1;2;4;1;2;Wei T.-S.;8;1
3;5;1;1;1;2;2;1;7;1;Matteo H.;8;1
1;2;1;2;3;1;4;1;15;1;Karim Y.;4;1
3;5;1;1;1;3;2;1;10;1;Javier M.;8;1
5;3;1;1;1;1;1;1;14;1;Najet C.;6;1
2;5;1;1;1;3;1;2;10;1;Mia M.;8;1
5;3;1;1;1;3;1;1;14;1;Carlos J.;6;1
3;3;1;2;2;2;2;2;1;1;Vivaan A.;8;1
4;1;2;2;3;1;1;3;16;1;Matteo F.;4;1
3;3;1;1;1;3;1;1;13;1;Juan S.;9;1
3;2;1;2;2;2;2;2;2;1;Giulia W.-Z.;5;1
3;5;1;1;1;3;1;2;9;1;Catherine A.;8;1
1;3;1;1;1;3;1;1;13;1;Ali Q.;6;1
2;1;1;1;1;2;1;2;11;1;Latifa N.;9;1
4;5;1;2;3;2;1;1;15;1;George P.;6;1
1;5;1;1;1;2;1;2;10;1;Cristina M.;8;1
4;1;2;2;3;2;1;3;4;4;Chloé D.;2;1
2;3;1;1;1;1;1;1;13;1;Bao G.;4;1
2;5;1;1;1;2;2;1;10;1;Luke U.;8;1
2;2;1;2;2;3;2;2;8;1;Corentin M.;8;1
2;4;1;1;1;1;2;1;8;1;Carlos Z.;8;1
3;5;1;1;1;2;2;1;7;1;Paul H.;8;1
5;5;1;1;1;2;1;1;9;1;Aïcha H.;8;1
5;3;1;1;1;3;1;1;14;1;Kenza Q.;6;1
4;2;1;2;3;3;2;3;1;1;Rami L.;4;1
2;5;1;1;1;1;1;2;12;1;Aurélie A.;9;1
5;3;1;1;1;3;1;1;14;1;Antonio H.;6;1
4;2;1;2;2;1;1;4;5;1;Boubacar B.;8;1
3;1;1;1;1;2;1;1;10;1;Imen F.;9;1
4;2;1;2;3;3;2;1;1;1;Ndiaye P.;7;1
4;3;1;1;1;3;1;1;13;1;Adama J.;4;1
5;3;1;2;1;3;1;1;14;1;Tao D.;5;1
1;1;1;2;3;4;3;4;2;1;Andres X.;5;1
5;4;1;1;1;3;1;1;14;1;Thomas Q.;6;1
4;2;1;2;2;1;2;2;5;1;Latifa H.;8;1
3;1;1;1;1;3;1;1;11;1;Amelia H.-M.;9;1
5;3;1;1;1;1;1;1;14;1;Benoît F.;6;1
3;3;1;2;2;2;1;2;1;1;Luc N.;4;1
1;5;1;1;1;2;1;3;12;1;Adrien N.;8;1
5;3;1;1;1;3;1;1;14;1;Ali S.-L.;6;1
1;4;1;1;1;1;1;4;16;1;Sophie V.;6;1
5;3;1;1;1;3;1;1;14;1;Sofia K.;6;1
3;1;1;2;1;2;1;4;6;1;Ahmed T.;8;1
4;1;3;2;3;3;1;3;2;1;Tamsir K.;8;1
4;2;1;2;3;4;3;2;15;1;Chen R.;4;1
2;5;1;1;1;3;1;3;10;1;Karl J. B.;8;1
