AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
2;5;1;1;1;3;1;1;13;1;Giovanni L.;4;2
3;2;1;2;2;2;2;1;6;1;Hannah U.;7;2
5;1;1;1;2;1;1;2;10;1;Thomas T.;7;2
5;1;1;1;1;3;1;1;10;1;Latifa N.;7;2
2;3;1;2;2;1;2;1;5;1;Li D.;4;2
1;4;2;2;3;1;5;2;3;1;Laura M.;3;2
4;4;1;2;3;2;1;1;1;1;Léa V.;8;2
4;4;2;2;3;2;3;2;6;1;Takumi F.-Z.;3;2
5;3;1;1;2;3;1;2;9;1;Aïcha H.;7;2
1;4;2;2;3;1;1;2;15;1;Wei T.-S.;7;2
4;1;1;2;2;1;2;3;5;1;Amina Z. G.;6;2
4;1;1;2;2;2;1;4;2;1;Pedro D.;7;2
3;1;1;1;1;3;1;4;15;1;Sofia K.;6;2
2;5;1;1;1;3;1;1;13;1;Wei W.;8;2
3;1;1;2;2;2;2;1;6;1;Ali F.;5;2
5;5;1;2;2;2;2;1;8;1;Daisuke E.;7;2
4;2;1;2;3;1;3;2;16;3;Fatima R.;4;2
2;2;1;2;3;2;3;1;5;1;Xiao R.-A.;5;2
5;3;1;1;2;3;1;1;9;1;Luca V.;7;2
3;1;1;1;1;1;1;1;13;1;Vincent S.;5;2
2;5;1;1;1;1;1;2;12;1;Manon X.;8;2
4;4;1;2;3;1;1;1;7;4;Lorenzo Y.;7;2
5;1;1;1;1;1;1;2;10;1;Isabel X.;7;2
5;1;1;1;1;1;1;2;11;1;Imen F.;7;2
2;1;1;1;1;1;1;1;14;1;Luca D.-E.;5;2
1;3;1;2;2;3;2;1;6;1;Tariro W.;4;2
1;2;3;2;3;3;1;4;16;3;Moussa U.;3;2
2;1;1;1;1;1;1;1;13;1;Ismaël S.;5;2
1;4;3;2;3;2;3;2;2;1;Mia P.;5;2
4;4;2;2;3;1;3;2;6;3;Clara G.;3;2
5;3;1;1;2;3;1;1;9;1;Sakura P. R.;7;2
3;1;1;2;2;4;1;4;2;1;Luis K.;7;2
4;2;4;2;3;1;1;1;1;1;Rosa B.;4;2
3;5;3;2;3;2;1;1;1;1;Ndiaye P.;5;2
5;1;1;1;2;1;1;2;10;1;Noura O.;7;2
2;5;1;1;1;3;1;1;13;1;John H.;8;2
4;2;1;2;3;3;2;4;1;1;Charlotte T.;8;2
5;1;1;1;2;1;1;2;9;1;Marina K.;7;2
5;5;1;1;1;1;2;1;12;1;Emma S.;7;2
3;1;1;1;1;3;1;4;14;1;Thomas Q.;6;2
1;5;1;1;1;3;1;1;11;1;Francisco O.;8;2
5;1;1;1;2;1;1;2;9;1;Federico U.;7;2
5;2;1;2;2;4;2;3;5;1;Martin L.;7;2
3;1;1;2;2;1;2;1;6;1;Ndiaye H.;7;2
4;1;1;2;2;2;2;1;6;1;Wei A.;7;2
3;2;3;2;3;1;1;3;1;1;Andres X.;4;2
3;3;1;2;3;2;1;2;1;1;Lars K.;5;2
4;1;2;2;3;2;1;3;3;2;Moussa A.;4;2
3;2;1;2;2;2;2;3;5;1;Luc S.;4;2
2;1;1;1;1;3;1;2;14;1;Kenza Q.;6;2
5;2;1;1;2;3;2;2;8;1;Emma M.;7;2
5;2;1;2;3;1;3;2;1;1;Clément O.;3;2
1;2;1;2;3;2;5;2;16;1;Thabo C.;4;2
