AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
5;5;1;1;1;3;1;1;11;1;Lei K.;8;1
2;2;1;2;3;3;1;2;16;1;Luc Z.;6;1
3;3;1;1;1;3;1;1;14;1;James C. K.;6;1
3;2;1;2;2;1;1;3;6;1;Brahim C.;7;1
2;2;1;2;3;2;2;1;1;1;Jesus N.;5;1
3;2;1;2;2;2;1;2;2;1;Hugo Y.;7;1
5;5;1;2;1;1;1;2;10;1;Jack J.;8;1
3;4;1;2;2;3;1;2;2;1;Naoko Z.;6;1
5;4;1;1;1;3;1;2;11;1;Jia V. R.;8;1
4;3;1;2;2;1;5;2;8;1;Matteo H.;7;1
2;3;1;1;1;3;1;2;13;1;Emma H.;5;1
4;2;1;2;2;2;2;1;1;1;Emma P.;7;1
2;3;1;1;1;3;1;2;14;1;Aoi R. Y.;5;1
4;4;1;1;1;3;1;1;13;1;Lea S.;5;1
2;2;1;2;2;2;1;2;6;1;Elsa H.;7;1
3;2;1;2;3;1;3;2;2;1;Léa V.;7;1
2;3;1;1;1;3;1;2;14;1;Hanane W.;5;1
5;1;1;1;1;3;1;1;13;1;Charlotte S.-C.;6;1
4;3;1;2;3;2;1;1;15;4;Rémi C.;4;1
5;5;1;1;1;1;1;1;11;1;Juan S.;8;1
3;3;1;1;1;3;1;2;13;1;Sandra J.;6;1
2;5;4;1;1;3;1;2;14;4;Pablo W.;6;1
3;5;1;1;1;1;2;2;11;1;Rossana B.;8;1
2;1;1;1;1;3;1;2;13;1;Lucia Y.-G.;6;1
4;2;1;2;3;1;2;2;2;1;Rosa B.;3;1
1;1;1;1;1;3;1;4;12;1;Li E.;7;1
4;1;1;2;2;2;2;4;6;1;Daniela G.;7;1
1;2;2;2;3;4;5;1;13;3;Saga C. G.;2;1
1;3;3;2;3;3;4;2;16;3;Fatima R.;7;1
4;3;3;2;3;1;3;1;15;1;Riko B.;5;1
3;3;1;1;1;3;1;2;13;1;Najet C.;5;1
4;4;2;2;3;1;3;2;6;3;Takumi F.-Z.;3;1
5;5;1;1;1;3;1;1;11;1;Emma S.;8;1
4;1;2;2;3;2;3;3;2;4;Amelia L.-A.;4;1
5;2;1;2;2;2;2;2;2;1;Alba Q.;7;1
2;2;1;2;2;2;1;1;1;1;Corentin M.;7;1
1;1;1;2;3;1;1;2;2;1;Giulia W.-Z.;5;1
5;5;1;1;1;1;1;2;11;1;Manon X.;8;1
