AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
4;2;1;2;2;2;1;2;6;1;Julien Z.;7;1
3;1;1;1;1;3;1;3;11;1;Juan S.;7;1
5;1;1;2;2;1;1;1;6;1;Javier M.;6;1
4;1;1;2;3;2;2;3;4;3;Moussa A.;4;1
5;2;3;2;3;3;1;1;1;3;Ndiaye P.;5;1
2;4;1;1;1;1;1;1;14;1;Sekou L.;7;1
4;2;1;2;3;1;1;4;16;1;Moussa U.;6;1
5;1;1;1;1;1;1;1;15;1;Wei W.;7;1
5;1;3;2;3;2;1;1;3;1;Matteo C.;4;1
4;2;4;2;3;2;1;1;1;1;Amina Z. G.;5;1
3;2;1;2;3;3;2;2;1;1;Saga W.;6;1
1;1;1;1;1;1;1;1;11;1;Amelia H.-M.;7;1
5;1;1;1;1;3;1;1;13;1;George N.-M.;7;1
3;2;1;2;3;2;1;1;1;1;Luc S.;5;1
5;1;1;1;1;3;1;3;12;1;Elena M.;7;1
5;1;1;1;1;3;1;1;14;1;Lucie Z.;7;1
3;5;1;1;2;3;1;2;7;1;Paul E.;7;1
4;4;4;2;3;1;2;2;1;1;Naoko Z.;4;1
4;3;1;2;3;1;2;2;1;4;Hina R.;6;1
1;2;3;2;2;3;1;4;6;1;Adrian D.;5;1
1;5;1;1;2;1;1;3;10;1;Thomas T.;7;1
1;5;1;1;1;3;1;2;12;1;Lucia K.;7;1
3;3;1;2;3;2;1;1;2;1;Tariro W.;5;1
3;1;1;2;2;1;1;1;9;1;Louis U.;6;1
5;1;1;1;1;1;1;3;13;1;Xiao D.;7;1
3;1;1;1;2;1;1;1;10;1;Adrien N.;7;1
4;4;1;2;3;2;2;2;5;1;Lorenzo Y.;6;1
3;1;1;1;1;1;1;2;11;1;Adam W. V.;7;1
4;4;1;2;3;2;1;1;1;1;Abibatou N.;4;1
1;5;1;1;2;1;1;2;10;1;Rami T.;7;1
3;1;1;1;2;3;1;1;10;1;Binta M.;7;1
5;2;1;2;2;3;1;1;6;1;Daniela G.;5;1
2;1;1;1;1;3;1;2;11;1;Priya N. Z.;7;1
2;4;1;1;1;1;1;3;14;1;Fernando K.;7;1
3;5;1;1;2;3;1;1;7;1;Krishna P.-L.;7;1
1;3;1;2;2;2;1;1;1;1;Yuki Y.;6;1
2;3;1;1;1;3;1;1;14;1;Aoi R. Y.;7;1
4;2;1;2;3;3;2;4;2;1;Dalila J.;4;1
5;2;1;2;2;4;2;2;8;1;Hannah U.;6;1
1;5;1;1;1;3;1;2;11;1;Emma S.;7;1
4;2;1;2;2;1;1;1;8;1;Lorenzo M.;5;1
4;1;2;2;3;3;4;4;2;2;Khady S.;6;1
4;2;1;2;3;3;2;4;2;3;Rami L.;2;1
1;5;1;1;2;3;1;2;11;1;Redouane X.;7;1
5;1;1;1;1;3;1;1;12;1;Noura A.;7;1
3;2;1;2;3;3;2;2;1;1;Issa I.;5;1
3;5;1;1;2;1;1;4;8;1;Marina K.;7;1
1;1;1;1;2;3;1;3;10;1;Paul V.-T.;7;1
4;3;3;2;3;2;3;3;16;4;Charlie M.;7;1
5;2;1;2;2;1;1;3;6;1;Daisuke E.;5;1
3;2;1;2;3;3;3;4;2;3;Amina W.;4;1
4;2;1;2;3;2;1;1;1;1;Amelia T.;6;1
4;3;1;2;2;2;2;2;1;1;Luis K.;6;1
3;1;1;2;3;2;1;1;2;1;Li D.;4;1
3;2;4;2;3;3;2;2;1;1;Mia J.;4;1
4;2;1;2;3;2;2;1;2;1;Elisa R.;3;1
3;1;1;2;2;2;1;1;11;1;Boubacar B.;5;1
4;4;3;2;3;2;1;1;15;3;Leïla X.;6;1
1;5;1;1;2;3;1;2;10;1;Han Y.;7;1
4;1;2;2;3;2;2;4;4;3;Finn R.;3;1
1;2;1;2;3;2;1;2;1;1;Laura B.;5;1
3;5;1;1;2;3;1;3;11;1;Karl J. B.;7;1
2;5;1;1;2;3;1;1;10;1;Sofiane T.;7;1
3;1;1;1;2;3;1;1;10;1;Catherine A.;7;1
4;2;3;2;3;3;2;1;16;3;Henry K. B.;3;1
2;2;1;2;2;1;1;1;6;1;Hassan O.;6;1
3;5;1;1;2;1;1;4;10;1;Federico U.;7;1
3;2;1;2;3;2;2;4;12;1;Björn B.;4;1
2;3;1;2;2;2;2;1;2;1;Nicola Y.;5;1
2;2;1;2;3;3;2;2;1;1;Hugo W.;7;1
5;1;1;1;1;1;1;1;13;1;Ben B.;7;1
