AGE;EDUCATION;ETHNICITY;GENDER;HOUSEHOLDSIZE;IDEOLOGY;INCOME;MARITALSTATUS;MBTI;NATIONALITY;NOM;OCCUPATION;PLACEOFRESIDENCE
1;3;1;1;1;3;1;2;14;1;Antonio H.;5;1
1;4;1;1;1;3;1;2;13;1;Ndiaye T.;5;1
3;1;1;1;2;3;2;2;9;1;Yuna H.;7;1
3;5;1;1;2;2;2;1;10;1;Lucas T.;7;1
2;3;1;1;2;3;1;4;14;1;Amelia F. T.;6;1
4;4;1;2;3;1;1;1;2;2;Leïla X.;7;1
3;2;1;2;3;1;3;1;2;1;Jia N. Y.;5;1
4;5;1;1;2;4;2;2;11;1;Leïla O.;7;1
2;4;4;1;1;3;1;4;13;4;Alexander X.;6;1
4;5;1;2;3;1;4;2;16;1;Ai F.;4;1
4;5;1;1;1;1;2;2;7;1;Adrien N.;7;1
3;2;1;2;2;2;2;1;8;1;Hassan O.;7;1
3;3;1;2;2;2;2;2;2;1;Aïcha S.;7;1
2;1;1;1;1;3;1;2;14;1;Valentina V.;5;1
2;3;1;1;1;3;1;2;13;1;Aoi R. Y.;6;1
2;2;1;2;2;1;2;3;6;1;Laura B.;4;1
1;1;1;1;1;3;1;2;14;1;Vincent S.;5;1
5;2;1;2;2;1;2;1;11;1;Daisuke E.;7;1
2;3;1;1;1;3;1;4;14;1;Eva K.;5;1
5;1;1;1;1;3;2;2;11;1;Federico M.;8;1
5;2;1;2;2;1;2;4;5;1;Kimi S.;4;1
1;4;2;2;3;1;3;2;1;1;Chloé P.;3;1
2;2;1;2;2;2;1;2;5;1;Kei Q.;4;1
2;2;1;2;2;2;1;1;7;1;Nathan V. R.;7;1
4;2;1;2;3;1;1;3;1;1;Rosa B.;4;1
2;1;1;1;1;3;1;2;14;1;Luca D.-E.;5;1
4;1;2;2;3;1;4;1;4;1;Matteo F.;7;1
4;4;2;2;3;1;1;1;7;2;Lorenzo Y.;7;1
3;1;1;2;3;1;5;1;16;1;Ruby C.;2;1
5;1;1;1;1;3;2;2;11;1;Jack J.;8;1
5;1;1;1;1;3;2;2;12;1;Bilal F.;8;1
3;2;1;2;2;2;1;1;10;1;Harry O.;7;1
1;2;1;2;2;2;2;1;7;1;Nicola Y.;7;1
2;1;1;1;1;3;1;2;13;1;Xiao D.;5;1
1;2;1;2;2;2;2;1;7;1;Adama C.;7;1
1;5;1;1;1;3;1;2;14;1;Carlos J.;5;1
3;5;1;1;2;1;2;2;10;1;Astrid K.;7;1
1;4;1;1;1;3;1;2;14;1;Rachid S.;5;1
1;2;3;2;3;1;1;2;2;1;Laura Y.;4;1
2;3;1;1;1;3;1;4;14;1;Thomas Q.;6;1
3;5;1;1;2;3;1;2;2;1;Luc V.-M.;7;1
3;2;1;2;3;2;2;2;2;1;Daiki W.;3;1
5;2;1;1;2;2;5;1;7;1;Luke U.;7;1
5;5;1;1;1;3;1;1;5;1;Li F.;7;1
4;3;1;2;2;3;2;2;8;1;Ndiaye H.;7;1
4;2;1;2;2;2;2;1;8;1;Kimi Z.;7;1
3;5;1;1;2;2;2;2;10;1;Thomas T.;7;1
2;1;1;1;1;3;1;2;13;1;Charlotte S.-C.;5;1
2;5;1;1;2;3;1;2;10;1;Anna D.;7;1
2;3;1;1;1;3;1;2;14;1;Ignacio E.;6;1
3;3;1;2;2;2;2;2;5;1;Paul A. L.;3;1
4;1;2;2;3;3;1;3;1;3;Seynabou T.;4;1
5;3;1;1;1;3;1;2;12;1;Lucia K.;8;1
1;1;1;1;1;3;1;1;13;1;Bao G.;6;1
4;3;1;2;2;1;2;2;8;1;Julien Z.;7;1
3;2;1;2;2;1;1;4;6;1;Emma P.;7;1
3;2;1;2;2;2;2;1;2;1;Luc S.;5;1
5;1;1;1;1;3;1;2;12;1;Priya N. Z.;8;1
3;2;1;2;3;1;1;3;16;1;Jesus N.;6;1
3;1;1;2;2;2;2;2;2;1;Tariro W.;4;1
4;3;3;2;3;2;1;2;1;1;Thabo C.;3;1
5;5;1;1;1;3;2;1;11;1;Rami T.;7;1
1;1;1;1;1;3;1;2;14;1;Guillaume P.;4;1
3;5;1;1;2;3;2;2;2;1;James Q.;7;1
